Schedule,As at 31-Mar-21,As at 31-Mar-20
Capital,1,1
Reserves and surplus,2,2
Minority interest,2A,2A
Deposits,3,3
Borrowings,4,4
Other liabilities and provisions,5,5
Total,"17,995,066,442","15,808,304,373"
Cash and balances with Reserve Bank of India,6,6
Balances with banks and money at call and short notice,7,7
Investments,8,8
Advances,9,9
Fixed assets,10,10
Other assets,11,11
Total,"17,995,066,442","15,808,304,373"
Contingent liabilities,12,12
Bills for collection,"447,481,440","515,849,020"
Significant accounting policies and notes to the Consolidated financial statements,17 & 18,The schedules referred to above form an integral part of the Consolidated Balance Sheet.
