Identification of Non-Performing Advances (NPA) and provision on advances,Identification of Non-Performing Advances (NPA) and provision on advances
"KeyAuditMatter The Reserve Bank of India's (""RBl"") guidelines on Income recognition and asset classification (""IRAC"") prescribe the prudential norms for","How our audit addressed the key audit matter Tested the design and operating effectiveness of key controls (including application controls) over approval, recording,monitoring"
"identification and classification of non-performing assets (""NPA"") and the minimum provision required for such assets. The Bank is required to have Board approved policy as per IRAC","and recovery of loans，monitoring overdue／stressed accounts, identification of NPA,provision for NPA and valuation of security and collateral."
guidelines for NPA identification and provision. The Bank is also required to apply its judgement to determine the identification and provision required against NPAs by applying,"Testing of Application controls include testing of automated controls, reports and system reconciliations."
quantitative as well as qualitative factors.The risk of identification of NPAs is affected by factors like stress and liquidity concerns in certain sectors. The provision on NPA isestimated based on ageing and,Evaluated the governance process and review controlsover calculations of provision of non-performing advances，basis of provisioning approved in accordance with the Board approved policy. Selected the borrowers based on quantitative and qualitative risk
"classification of NPAs,recovery estimates,nature of loan product, value of security and other qualitative factors and is subject to the minimum provisioning norms specified by RBl and approved policy of the Bank in this regard. Additionally， the Bank makes provisions on exposures that are",factors for their assessment of appropriate classification as NPA including computation of overdue ageing to assess its correct classification and provision amount as per extant IRAC norms and Bank policy.
not classified as NPAs including advances in certain sectors and identified advances or group advances that can potentially slip into NPA.These are classified as contingency provisions.,Performed other substantive procedures included and not limited to the following: ·Selected samples of performing loans and assessed independently
The Management of the Bank also made an assessment of the impact on borrowers'account due to COvID-19 pandemic and in line with the COVID-19 Regulatory Package announced by the RBI inrespect of moratorium and restructuring of advances as relief,"as to whether those should be classified as NPA; · For samples selected reviewed the collateral valuation,financial statements and other qualitative information;"
"measures to the borrowers. Additionally, the Bank has considered the impact of judgement,on identification of NPA and provision thereof,which was vacated as","·Considered the accounts reported by the Bank and other Banks as Special Mention Accounts (""SMA"") in RBl's Central Repository of"
"per Honourable Supreme Court Order on March 23,2021 and the RBl circular dated April7,2021 in that connection. Since the identification of NPAs and provisioning for advances require significant level of estimation and given its significance to",Information on Large Credits (CRILC) to identify stress; ·For selected samples assessed independently accounts that can potentially be classified as NPA and Red Flagged Accounts;
"the overall audit including possible observation by RBl which could result into disclosure in the financial statements,we have ascertained identification and provisioning for NPAs as a key audit matter.",·Performed inquiries with the credit and risk departments to ascertain if there were indicators of stress or an occurrence of
,an event of default in a particular loan account or any product category which needed to be considered as NPA;
,·Examined the early warning reports generated by the Bank to identify stressed loan accounts;
,· Held specific discussions with the management of the Bank on sectors where there is perceived credit risk and the steps taken to mitigate the risks to identified sectors;
,·Selected samples for standard accounts，default but standard accounts and overdue accounts and assessed compliance with RBI circular on COVID-19 Regulatory Package;
,Selected and tested samples of accounts which were restructured under MSME restructuring circular and Resolution Framework for COVID-19 related stress circular for their compliance with the RBl directions;
,Selected samples of accounts which were not declared as NPA due to the interim order of Honourable Supreme Court and later on due to the vacation of the interim order and the RBl circular in connection with that to ensure the asset classification of borrower accounts has been continued as per the extant RBl instructions /
