Particulars,"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2020"
Amount recognised in Balance Sheet,,,,,
Fair value of plan assets as at March 31,0.33,0.33,0.33,0.33,9.51
Present value of obligation as at March 31,(89.99),(89.99),(89.99),(89.99),(64.15)
Asset /(Liability)as at March 31,(89.66),(89.66),(89.66),(89.66),(54.64)
Expenses recognised in Profit and Loss Account,,,,,
Interest cost,,,,3.79,4.11
Interest cost,,,,,4.11
Current service cost,1.37,1.37,1.37,1.37,0.67
Expected return on plan assets,(0.32),(0.32),(0.32),(0.32),(1.10）
Net actuarial (gain) /loss recognised in the year,32.48,32.48,32.48,32.48,4.19
Net cost,37.32,37.32,37.32,37.32,7.87
Actual return on plan assets,0.15,0.15,0.15,0.15,1.39
Estimated contribution for the next year,13.09,13.09,13.09,13.09,7.72
Assumptions,,,,,
Discount rate,6.50% per annum,6.50% per annum,6.50% per annum,6.50% per annum,6.60% per annum
Expected return on plan assets,6.50% per annum,6.50% per annum,6.50% per annum,6.50% per annum,7.00% per annum
Salary escalation rate,7.00% per annum,7.00% per annum,7.00% per annum,7.00% per annum,7.00% per annum
