"V. WherethecompanyhascalculatedtheemployeecompensationcostHadtheBankfolowedfairvalue methodforaccounting,theusingtheintrinsicvalueofthestockoptions,thediference betweenstockoptioncompensationexpensewouldhavebeenhigherbytheemployeecompensationcost socomputedandtheemployee1,17.0crore.Consequently profitaftertaxwouldhavebeencompensationcost thatshallhavebeenrecognizedifithadusedthelowerby1,17.0croreandthebasicEPSofthe Bank wouldfairvalueofteoptions,shallbedisclosed.Theimpactofthisdiferencehavebeen54.6pershare(lowerby2.0pershare)andtheon profits and on EPS of the company shall also be disclosed diluted EPS would have been 54.3 per share (lower by 2.0per share)","V. WherethecompanyhascalculatedtheemployeecompensationcostHadtheBankfolowedfairvalue methodforaccounting,theusingtheintrinsicvalueofthestockoptions,thediference betweenstockoptioncompensationexpensewouldhavebeenhigherbytheemployeecompensationcost socomputedandtheemployee1,17.0crore.Consequently profitaftertaxwouldhavebeencompensationcost thatshallhavebeenrecognizedifithadusedthelowerby1,17.0croreandthebasicEPSofthe Bank wouldfairvalueofteoptions,shallbedisclosed.Theimpactofthisdiferencehavebeen54.6pershare(lowerby2.0pershare)andtheon profits and on EPS of the company shall also be disclosed diluted EPS would have been 54.3 per share (lower by 2.0per share)","V. WherethecompanyhascalculatedtheemployeecompensationcostHadtheBankfolowedfairvalue methodforaccounting,theusingtheintrinsicvalueofthestockoptions,thediference betweenstockoptioncompensationexpensewouldhavebeenhigherbytheemployeecompensationcost socomputedandtheemployee1,17.0crore.Consequently profitaftertaxwouldhavebeencompensationcost thatshallhavebeenrecognizedifithadusedthelowerby1,17.0croreandthebasicEPSofthe Bank wouldfairvalueofteoptions,shallbedisclosed.Theimpactofthisdiferencehavebeen54.6pershare(lowerby2.0pershare)andtheon profits and on EPS of the company shall also be disclosed diluted EPS would have been 54.3 per share (lower by 2.0per share)",
vi. WeightedaverageexercisepricesandweightedaveragefairvaluesTheweightedaverage priceof thestockoptionsexercised isof options shallbe disclosed separatelyforoptions whose exercise 596.8andthe weightedaverage fairvalueis189.9price either equals or exceeds or is less than the market price of thestock options,WeightedaverageexercisepricesandweightedaveragefairvaluesTheweightedaverage priceof thestockoptionsexercised isof options shallbe disclosed separatelyforoptions whose exercise 596.8andthe weightedaverage fairvalueis189.9,WeightedaverageexercisepricesandweightedaveragefairvaluesTheweightedaverage priceof thestockoptionsexercised isof options shallbe disclosed separatelyforoptions whose exercise 596.8andthe weightedaverage fairvalueis189.9,
vi. WeightedaverageexercisepricesandweightedaveragefairvaluesTheweightedaverage priceof thestockoptionsexercised isof options shallbe disclosed separatelyforoptions whose exercise 596.8andthe weightedaverage fairvalueis189.9price either equals or exceeds or is less than the market price of thestock options,WeightedaverageexercisepricesandweightedaveragefairvaluesTheweightedaverage priceof thestockoptionsexercised isof options shallbe disclosed separatelyforoptions whose exercise 596.8andthe weightedaverage fairvalueis189.9,WeightedaverageexercisepricesandweightedaveragefairvaluesTheweightedaverage priceof thestockoptionsexercised isof options shallbe disclosed separatelyforoptions whose exercise 596.8andthe weightedaverage fairvalueis189.9,
"vii AdescriptionofthemethodandsignificantassmptionsusedduringTheSecuritiesandExchangeBoardofIndia(SEBl)hasprescribedtheyeartoestimatethefairvalueofoptions,atthetimeof granttwo methods toaccountforstock grants;(i)theintrinsic valueincluding the followingweighted average information:","AdescriptionofthemethodandsignificantassmptionsusedduringTheSecuritiesandExchangeBoardofIndia(SEBl)hasprescribedtheyeartoestimatethefairvalueofoptions,atthetimeof granttwo methods toaccountforstock grants;(i)theintrinsic valuemethod; (ii) the fair value method.The Bank adopts the intrinsicvalue method to account for the stock options it grants to theemployees.The Bank also calculates the fair value of options atthe time of grant,using binomial option-pricing model with thefollowing assumptions","AdescriptionofthemethodandsignificantassmptionsusedduringTheSecuritiesandExchangeBoardofIndia(SEBl)hasprescribedtheyeartoestimatethefairvalueofoptions,atthetimeof granttwo methods toaccountforstock grants;(i)theintrinsic valuemethod; (ii) the fair value method.The Bank adopts the intrinsicvalue method to account for the stock options it grants to theemployees.The Bank also calculates the fair value of options atthe time of grant,using binomial option-pricing model with thefollowing assumptions",
I.Risk-free interest rate,4.63 % to 5.75 %,4.63 % to 5.75 %,
II. Expected life,1 to 6years,1 to 6years,
III. E-xpected volatility,20.13 % to 28.93 %,20.13 % to 28.93 %,
IV.Expected dividends,0.61%,0.61%,
"VThe priceof the underlying shareinthe marketatthe timeofThemarketpricepershare was1,235.8atthetimeof grantofoption grant","The priceof the underlying shareinthe marketatthe timeofThemarketpricepershare was1,235.8atthetimeof grantofoptions under ESOS XXXV.","The priceof the underlying shareinthe marketatthe timeofThemarketpricepershare was1,235.8atthetimeof grantofoptions under ESOS XXXV.",
VI.The weightedaveragemarketpriceofBank'ssharesonNSEatte1238.33at thetimeofgrantofoptions under ESOS XXXVtime of option grant,VI.The weightedaveragemarketpriceofBank'ssharesonNSEatte1238.33at thetimeofgrantofoptions under ESOS XXXV,VI.The weightedaveragemarketpriceofBank'ssharesonNSEatte1238.33at thetimeofgrantofoptions under ESOS XXXV,
"VIl.MethodusedandassumptionsmadetoincorporateeffectsofTheexercisemutiple,whichisbasedonhistoricaldataofearlyexpected early exercise","VIl.MethodusedandassumptionsmadetoincorporateeffectsofTheexercisemutiple,whichisbasedonhistoricaldataofearlyoption exercise decisions of the employees,incorporates earlyexercise price effect in the valuation of ESOPs.The exercisemultiple indicates that option holders tend to exercise theiroptions when the share price reaches a particular multiple of theexercise price.","VIl.MethodusedandassumptionsmadetoincorporateeffectsofTheexercisemutiple,whichisbasedonhistoricaldataofearlyoption exercise decisions of the employees,incorporates earlyexercise price effect in the valuation of ESOPs.The exercisemultiple indicates that option holders tend to exercise theiroptions when the share price reaches a particular multiple of theexercise price.",
VIl.How expectedvolatityasdeterminedincudingexplanationStockexpectedvolatityiscompletelybasedonGARCHoftheextent towhichexpectedvolatitywasbasedonhistoricalvolatityforecastingmodelusinghistoricalstockpricesfromthevolatility,VIl.How expectedvolatityasdeterminedincudingexplanationStockexpectedvolatityiscompletelybasedonGARCHoftheextent towhichexpectedvolatitywasbasedonhistoricalvolatityforecastingmodelusinghistoricalstockpricesfromthemarket.,VIl.How expectedvolatityasdeterminedincudingexplanationStockexpectedvolatityiscompletelybasedonGARCHoftheextent towhichexpectedvolatitywasbasedonhistoricalvolatityforecastingmodelusinghistoricalstockpricesfromthemarket.,
