in '000,in '000,in '000,in '000
,,Year ended,Year ended
,,31-Mar-21,31-Mar-20
,SCHEDULE 15 - INTEREST EXPENDED,,
,Interest on deposits,"501,433,080","508,037,575"
,Intereston RBl /inter-bank borrowings,"58,225,908","78,033,042"
,I|Other interest,"127,572","193,362"
,Total,"559,786,560","586,263,979"
,SCHEDULE 16 - OPERATING EXPENSES,,
,Payments to and provisions for employees,"103,647,937","95,256,682"
,"ⅡRent, taxes and lighting","16,981,899","16,584,727"
,IIPrinting and stationery,"4,291,454","4,466,320"
,IV Advertisement and publicity,"954,746","979,091"
,VDepreciation on bank's property,"13,024,133","11,958,533"
,"VlDirectors' fees /remuneration,allowances and expenses","51,433","37,041"
,Vll Auditors' fees and expenses,"46,273","37,823"
,Vill Law charges,"1,366,427","1,587,423"
,"IXPostage, telegram, telephone etc.","4,807,651","4,275,952"
,XRepairs and maintenance,"16,162,822","12,675,704"
,Xl Insurance,"17,228,235","12,292,295"
,Xll Other expenditure*,"148,663,291","146,823,698"
,Total,"327,226,301","306,975,289"
