1,（2),（3）,（4),（5),（5),（6,（7) （8,（7) （8,（7) （8,
sI,Name of the,Item from the list,Local,Location of the project,Location of the project,Amountthe Project -Direct Yes/No),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,
No.,Project,of activities in,area,Location of the project,Location of the project,Amountthe Project -Direct Yes/No),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,
,,schedule Vll to,(Yes/,Location of the project,Location of the project,Amountthe Project -Direct Yes/No),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct Yes/No) Agency,
,,the Act,No,State District,State District,(crore),Name CSRRegistrationnumber,Name CSRRegistrationnumber,Name CSRRegistrationnumber,
,,,,State District,State District,(crore),Name CSRRegistrationnumber,Name CSRRegistrationnumber,Name CSRRegistrationnumber,
66,66HRDP,Rural,Yes,"Punjab Firozpur, Amritsar","Punjab Firozpur, Amritsar",0.86,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,
,,Development,,"Punjab Firozpur, Amritsar","Punjab Firozpur, Amritsar",0.86,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,
,,Projects (x),,"Punjab Firozpur, Amritsar","Punjab Firozpur, Amritsar",0.86,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,
67,67HRDP,Rural,Yes,Punjab Amritsar,Punjab Amritsar,0.81,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,
,,Development,,Tarn Taran,Tarn Taran,,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,
,,Projects(x),,Tarn Taran,Tarn Taran,,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,No Shramik CSR00000332Bharti,
68,68HRDP,Rural,Yes,Punjab Fazika,Punjab Fazika,1.42,No Centre for,No Centre for,CSR00000339,
,,Development,,Muktasar,Muktasar,,,Advance,CSR00000339,
,,Projects (x),,,,,Research andDevelopment,Research andDevelopment,Research and,
,Total,,,,,444.72,,,,
