Type of PSLCs,"For the year ended March 31, 2021","For the year ended March 31, 2021","For the year ended March 31, 2021","For the year ended March 31, 2021","For the year ended March 31, 2020","For the year ended March 31, 2020",,
Type of PSLCs,PSLC boughtduring the year,PSLC boughtduring the year,PSLC boughtduring the year,PSLC sold,PSLC bought,PSLC sold during the year,,
Type of PSLCs,PSLC boughtduring the year,PSLC boughtduring the year,PSLC boughtduring the year,during the year,during the year,PSLC sold during the year,,
Agriculture,"3,030.00","3,030.00","3,030.00",-,"10,341.50",,,
Small and Marginalfarmers,625.00,625.00,625.00,,"42,077.25",,,
Micro Enterprises,,,,,,,,
Micro Enterprises,,,,,,,,
Micro Enterprises,,,,"18,830.00","18,830.00","2,000.00","5,666.50","3,000.00"
General,"61,842.50","61,842.50","61,842.50","6,433.00","13,750.00","2,000.00",,
Total,"84,327.50","84,327.50","84,327.50","2,000.00","64,518.25","16,750.00",,
