,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-20,,,,
SCHEDULE 7 - BALANCES WITH BANKS AND MONEY AT CALL ANDSHORT NOTICE,,,,,,,,,,,,,
In India,,,,,,,,,,,,,
()Balances with banks:,,,,,,,,,,,,,
(a) In current accounts,"9,897,824","9,897,824","9,897,824","9,897,824","9,897,824","9,897,824","9,897,824","9,897,824","4,155,423",,,,
(b） In other deposit accounts,"16,170,913","16,170,913","16,170,913","16,170,913","16,170,913","16,170,913","16,170,913","16,170,913","12,476,849",,,,
Total,"26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","16,632,272",,,,
(ii)Money at call and short notice:,,,,,,,,,,,,,
(a) With banks,,,,,,,,,,,,,
(b)With other institutions,,,,,,,,,,,,,
Total,,,,,,,,,,,,,
Total,"26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","26,068,737","16,632,272",,,,
=Outside India,,,,,,,,,,,,,
()In current accounts,"110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","47,628,696",,,,
(ii) In deposit accounts,"110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","110,344,8403,909,632","10,176,943",,,,
(ii) Money at call and short notice,"98,698,500","98,698,500","98,698,500","98,698,500","98,698,500","98,698,500","98,698,500","98,698,500","82,853,175",,,,
Total,"212,952,972","212,952,972","212,952,972","212,952,972","212,952,972","212,952,972","212,952,972","212,952,972","140,658,814",,,,
Total,"239,021,709","239,021,709","239,021,709","239,021,709","239,021,709","239,021,709","239,021,709","239,021,709","157,291,086",,,,
SCHEDULE 8 - INVESTMENTS,,,,,,,,,,,,,
A Investments in India in,,,,,"3,520,158,606","3,520,158,606","3,520,158,606","3,520,158,606",,,,,
() Government securities,,,,,"3,520,158,606","3,520,158,606","3,520,158,606","3,520,158,606","3,230,399,049",,,,
(ii) Other approved securities,"4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218",,,,,
(i) Shares,"4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,182,471",,,,
(iv) Debentures and bonds,"4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218","4,494,375586,747,218",,,,,"258,011,937"
"(v) Others (Units, CDs,CPs,PTCs and securityeepts)",,,,,,"253,149,671","253,149,671","253,149,671","378,628,257",,,,
Total,,,,,,"4,364,549,870","4,364,549,870","4,364,549,870","3,871,221,714",,,,
BInvestments outside India in,,,,,,,,,,,,,
BInvestments outside India in,,,,,,,,,,,,,
BInvestments outside India in,,,,,,,,,,,,,
(）Government securities including Local Authorities),,,,,"5,936,075","5,936,075","5,936,075","5,936,075","8,409,391",,,,
(ii) Other investments,,,,,,,,,,,,,
(ii) Other investments,,,,,,,,,,,,,
(ii) Other investments,,"35,024","35,024","35,024","35,024","35,024","35,024","35,024",,,,,
(a) Shares,"35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,024",,,,
(b） Debentures and bonds,"35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","35,02417,710,148","13,383,390",,,,
Total,"23,681,247","23,681,247","23,681,247","23,681,247","23,681,247","23,681,247","23,681,247","23,681,247","21,827,805",,,,
Total,"4,388,231,117","4,388,231,117","4,388,231,117","4,388,231,117","4,388,231,117","4,388,231,117","4,388,231,117","4,388,231,117","3,893,049,519",,,,
SCHEDULE 9 - ADVANCES,,,,,,,,,,,,,
A(i)Bills purchased and discounted,,,,,"345,427,765","345,427,765","345,427,765","345,427,765","387,832,198",,,,
