1,(2),(2),(3),（4),(5),(5),(6),（7) （8),
SI,Name of the,Name of the,Item from the listof activities inschedule Vll to,Localarea(Yes/,Location of the project,Location of the project,Amountthe Project -Direct (Yes/No),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,
No.,Project,,Item from the listof activities inschedule Vll to,Localarea(Yes/,Location of the project,Location of the project,Amountthe Project -Direct (Yes/No),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,
,,,schedule Vll to,Localarea(Yes/,Location of the project,Location of the project,Amountthe Project -Direct (Yes/No),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,
,,,the Act,No),State District,State District,( crore),Name CSRRegistrationnumber,
,,,,,State District,State District,( crore),Name CSRRegistrationnumber,
1,Social Awareness,Social Awareness,PromotingEducation (i),Yes,PAN India Multiple Districts,PAN India Multiple Districts,4.73,Yes NA NA,
2,Swachha Banking,Swachha Banking,PromotingEducation (i),Yes,PAN India Multiple Districts,PAN India Multiple Districts,5.64,Yes NA NA,
,3Disha,3Disha,Promoting,Yes,"Chhattisgarh,Madhya Pradesh，Mahasamund, Korba,Maharashtra& Rajasthan Raigarh,Mungeli,uChhindwara,Vidisha,Betul,Mandla,Kgone,our,Khandwa,Pune,Nagpur,Bhandara,Sangli,Parbhn,Raigad,Nashik,WardhaDholpur, Chittogarh,Churu","Chhattisgarh,Madhya Pradesh，Mahasamund, Korba,Maharashtra& Rajasthan Raigarh,Mungeli,uChhindwara,Vidisha,Betul,Mandla,Kgone,our,Khandwa,Pune,Nagpur,Bhandara,Sangli,Parbhn,Raigad,Nashik,WardhaDholpur, Chittogarh,Churu",3.05,No Magic CSR00001330Bus IndiaFoundation,
,,,Education (i),,"Chhattisgarh,Madhya Pradesh，Mahasamund, Korba,Maharashtra& Rajasthan Raigarh,Mungeli,uChhindwara,Vidisha,Betul,Mandla,Kgone,our,Khandwa,Pune,Nagpur,Bhandara,Sangli,Parbhn,Raigad,Nashik,WardhaDholpur, Chittogarh,Churu","Chhattisgarh,Madhya Pradesh，Mahasamund, Korba,Maharashtra& Rajasthan Raigarh,Mungeli,uChhindwara,Vidisha,Betul,Mandla,Kgone,our,Khandwa,Pune,Nagpur,Bhandara,Sangli,Parbhn,Raigad,Nashik,WardhaDholpur, Chittogarh,Churu",3.05,No Magic CSR00001330Bus IndiaFoundation,
4,Scholarship for the,Scholarship for the,Promoting,Yes,Maharashtra Mumbai,Maharashtra Mumbai,0.25,No Sri Satya SaiNATrust,
,girl chid,girl chid,Education (ii)/,,Maharashtra Mumbai,Maharashtra Mumbai,0.25,No Sri Satya SaiNATrust,
,,,Gender Equality(),,Maharashtra Mumbai,Maharashtra Mumbai,0.25,No Sri Satya SaiNATrust,
5,Educational Crisis,Educational Crisis,PromotingEducation (i),Yes,PAN India Multiple Districts,PAN India Multiple Districts,2.40,No Buddy4StudyCSR00000121Foundation,
,,,PromotingEducation (i),Yes,PAN India Multiple Districts,PAN India Multiple Districts,2.40,No Buddy4StudyCSR00000121Foundation,
,,,PromotingEducation (i),Yes,PAN India Multiple Districts,PAN India Multiple Districts,2.40,No Buddy4StudyCSR00000121Foundation,
,ScholarshipSupport (ECSS),ScholarshipSupport (ECSS),PromotingEducation (i),Yes,PAN India Multiple Districts,PAN India Multiple Districts,2.40,No Buddy4StudyCSR00000121Foundation,
6,Fellowship program,Fellowship program,Promoting,Yes,"Uttar Pradesh Hardoi, Lakhimpur, Barabanki,Rae Bareili,Azamgarh,Chandauli, Ghazipur,JaunpurMau,Varanasi,Lucknow,Sitapur, Unnao","Uttar Pradesh Hardoi, Lakhimpur, Barabanki,Rae Bareili,Azamgarh,Chandauli, Ghazipur,JaunpurMau,Varanasi,Lucknow,Sitapur, Unnao",0.20,No Milaan NAFoundation,
,,,Education (ii),,"Uttar Pradesh Hardoi, Lakhimpur, Barabanki,Rae Bareili,Azamgarh,Chandauli, Ghazipur,JaunpurMau,Varanasi,Lucknow,Sitapur, Unnao","Uttar Pradesh Hardoi, Lakhimpur, Barabanki,Rae Bareili,Azamgarh,Chandauli, Ghazipur,JaunpurMau,Varanasi,Lucknow,Sitapur, Unnao",0.20,No Milaan NAFoundation,
7,Special Education,Special Education,PromotingEducation (il),Yes,Karnataka Kodagu,Karnataka Kodagu,0.25,No Kodagu NAVidhyalaya,
,Centre,Centre,PromotingEducation (il),Yes,Karnataka Kodagu,Karnataka Kodagu,0.25,No Kodagu NAVidhyalaya,
,8School,8School,PromotingEducation (i),Yes,Maharashtra Mumbai,Maharashtra Mumbai,1.00,No Bombay NAScottishOrphanageSociety,
,Upgradation,Upgradation,PromotingEducation (i),Yes,Maharashtra Mumbai,Maharashtra Mumbai,1.00,No Bombay NAScottishOrphanageSociety,
,,,,,Maharashtra Mumbai,Maharashtra Mumbai,1.00,No Bombay NAScottishOrphanageSociety,
9,Learning,Learning,PromotingEducation (i),Yes,Rajasthan Jaipur,Rajasthan Jaipur,0.14,No Jagriti CSR00003327,
,Improvement,Improvement,PromotingEducation (i),Yes,Rajasthan Jaipur,Rajasthan Jaipur,0.14,No Jagriti CSR00003327,
10,10 SMART-,10 SMART-,PromotingEducation (i),Yes,Tamil Nadu Madurai,Tamil Nadu Madurai,0.15,No Society of St.NAMary's,
,Education,Education,PromotingEducation (i),Yes,Tamil Nadu Madurai,Tamil Nadu Madurai,0.15,No Society of St.NAMary's,
,11Digital Education,11Digital Education,Promotion of,Yes,"Bihar, Uttar Pradesh, Patna, Banaras,Rajsamand,Rajasthan, Jharkhand, Bokaro,Giridih, DurgChhattisgarh","Bihar, Uttar Pradesh, Patna, Banaras,Rajsamand,Rajasthan, Jharkhand, Bokaro,Giridih, DurgChhattisgarh",9.88,No CSC Academy NA,
,,,Education (i),,"Bihar, Uttar Pradesh, Patna, Banaras,Rajsamand,Rajasthan, Jharkhand, Bokaro,Giridih, DurgChhattisgarh","Bihar, Uttar Pradesh, Patna, Banaras,Rajsamand,Rajasthan, Jharkhand, Bokaro,Giridih, DurgChhattisgarh",9.88,No CSC Academy NA,
,,,Education (i),,"Bihar, Uttar Pradesh, Patna, Banaras,Rajsamand,Rajasthan, Jharkhand, Bokaro,Giridih, DurgChhattisgarh","Bihar, Uttar Pradesh, Patna, Banaras,Rajsamand,Rajasthan, Jharkhand, Bokaro,Giridih, DurgChhattisgarh",9.88,No CSC Academy NA,
,12 Student Skill,12 Student Skill,Vocational,Yes,"Chattisgarh Bilaspur, Korba, Raipur","Chattisgarh Bilaspur, Korba, Raipur",0.78,No TISS CSR00003475,
