Name and Designation,Ratio
"Shyamala Gopinath,erstwhile Part-Time Chairperson & Independent Director",16.15
"Malay Patel, Independent Director",12.19
"Umesh Chandra Sarangi, Independent Director",10.37
"Sanjiv Sachar, Independent Director",13.05
"Sandeep Parekh, Independent Director",11.98
"M.D. Ranganath, Independent Director",13.69
"Srikanth Nadhamuni, Non-Executive Director",13.48
"Renu Karnad,Non-Executive Director",11.23
"Sunita Maheshwari, Additional Independent Director",-
"Atanu Chakraborty, Part-Time Non-Executive Chairman & Independent Director",
"Aditya Puri, erstwhile Managing Director",1
"Sashidhar Jagdishan, Managing Director& CEO",139:1
"Kaizad Bharucha, Executive Director",119:1
