Name of entity,"Net assets as of March 31, 2020","Net assets as of March 31, 2020","Profit or (loss) for theyear ended March 31, 2020","Profit or (loss) for theyear ended March 31, 2020"
Name of entity,As %of,,As % ofconsolidated,Amount***
Name of entity,consolidated,Amount***,As % ofconsolidated,Amount***
Name of entity,net assets**,Amount***,profit or loss,Amount***
Parent:,,,,
HDFC Bank Limited,96.95%,"170,986.02",96.34%,"26,257.32"
Subsidiaries*:,,,,
1. HDFC Securities Limited,0.71%,"1,245.50",1.55%,423.37
2.HDB Financial Services Limited,4.64%,"8,179.26",3.80%,"1,036.94"
Minority Interest in all subsidiaries,0.33%,576.64,0.16%,42.31
