Priority Rank,S. No.,Sustainability topic GRl aspects,Sustainability topic GRl aspects
1.,16.,Compliance,Capitals impacted Environmental compliance; Socio-economic compliance 专
,,,"We operate in a highly regulated sector.For us,regulatory compliance is mandatory and non-negotiable."
2.,8.,Data Security,"All our operations comply with legal,environmental and social requisites prescribed by regulatory bodies. Customer privacy; Security practices"
,,,"We operate in a highly automated environment and make use of the latest technologies to support various operations.We have in place a governance framework,information security practices and a business continuity plan to mitigate information technology-related risks.We are also guidedby the Information"
,12.,Corporate,Security Policy and Cyber Security Policy laid down byan independent assurance team within Internal Audit which provides assurance on the management of information technology-related risks. Ethics and integrity; Governance
,,Governance & Ethics,"Our Corporate Governance philosophy，enunciated in our ESG framework,is guided by the cardinal principles of independence,accountabilitytransparency，fair disclosures,responsibilityand credibility. Good governance practices are embedded in our culture,which reflects in the policies and guidelines adopted by us.The Anti-Bribery and Anti-Corruption Policy as wellas the Code of Conduct enable us to conduct business in an ethical manner.We comply with the Indian Companies Act,2013,Banking"
,,,"Regulation Act,1949 and the applicable RBl and SEBl regulations,among others. Our equity shares are listed on the National Stock Exchange,the Bombay Stock Exchange and our American Depository Shares (ADS) are Iisted on the New York Stock Exchange."
,,Privacy,"Customer privacy Being in the services sector Information Security and Data Protection are of paramount importance to us. Our IT Strategy Committee,a Board-levelcommittee,is headedbyan ITDirector.Further, we adhere to the"
,,,'Code of Bank's Commitment to Customers'as prescribed by the Banking Codes and Standards Board of India (BCSBl) and Employee and Customer Awareness Procedures.
5.,9.,Customer Satisfaction,Stakeholder engagement; Marketing and labelling Our customer-centric approach provides intuitive，relevant，contextualised and hyper-personalised experiences to our customersand caters to theirfinancial goals.We regularly conduct satisfaction surveys
,,Selling Practice,to obtain feedback on our products and services. Marketing and labelling
6.,10.,and Product Labeling,"We conduct our business in an ethical and transparent manner. We strongly adhere to market conduct regulations to inform our customers and clients with transparent,accurate,and comprehensive marketing"
