1 (2),(3),（4),,（5),（6,（6,（7),（8,（9),(10),(10),(11),(11),(11),,
SI.Name of theNo.Project.,Item from thelist of activities,Localarea,Locat,Location of the project,Projectduration,Projectduration,AmountAllocated forthe Project(crore),Amountspent in,Amount,Modeof,Modeof,Mode of Implementation -,Mode of Implementation -,Mode of Implementation -,,
SI.Name of theNo.Project.,Item from thelist of activities,Localarea,Locat,Location of the project,Projectduration,Projectduration,AmountAllocated forthe Project(crore),Amountspent in,transferred to,Implementation,Implementation,Through Imple,Through Imple,nentingAgency,,
,in schedule VIlto the Act.,(Yes/No),State,District,Projectduration,Projectduration,AmountAllocated forthe Project(crore),,the currentfinancial,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),Name,Name,CSRRegistration,
,in schedule VIlto the Act.,,,District,Projectduration,Projectduration,AmountAllocated forthe Project(crore),,,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),,,,
,,,,District,,,,Year ( crore),the currentfinancial,the project asperSection135(6) ( crore),,,,,CSRRegistration,number
89 HRDP,Rural,Yes,Sikkim,East Sikkim,1year,1year,2.12,2.12,NA,No,No,Citizens,Citizens,CSR00000589,,
,DevelopmentProjects (x）,,,East Sikkim,1year,1year,2.12,2.12,,,,Foundation,Foundation,,,
90 HRDP,RuralDevelopmentProjects (x),Yes,Bihar,Nalanda,1year,1year,1.11,1.11,NA,No,No,Oxfam India,Oxfam India,CSR00000839,,
90 HRDP,RuralDevelopmentProjects (x),,,Nalanda,1year,1year,,,,,,,,,,
91 HRDP,RuralDevelopment,Yes,Madhya,Khargone,1 year,1 year,1.23,1.23,NA,No,No,Society for,Society for,CSR00000399,,
91 HRDP,RuralDevelopment,Yes,,,,,,,,,,the Upliftment,the Upliftment,,,
91 HRDP,Projects (x),,,,,,,,,,,,,,,
91 HRDP,Projects (x),,,,,,,,,,,,,,,
91 HRDP,Projects (x),,,,,,,,,,,of Villagers&,of Villagers&,,,
,,,,,,,,,,,,Development,Development,,,
,,,,,,,,,,,,of HimalayanAreas(SUVIDHA),of HimalayanAreas(SUVIDHA),,,
92 HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra,Osmanabad,1year,1year,1.49,1.49,NA,No,No,Cohesion,Cohesion,CSR00000148,,
92 HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra,Osmanabad,1year,1year,1.49,1.49,NA,No,No,FoundationTrust,FoundationTrust,,,
92 HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra,Osmanabad,1year,1year,1.49,1.49,NA,No,No,FoundationTrust,FoundationTrust,,Trust,Trust
93 HRDP,RuralDevelopmentProjects (x),Yes,Odisha,Koraput,1 year,1 year,1.29,1.29,NA,No,No,,Foundation,Foundation,,
93 HRDP,RuralDevelopmentProjects (x),Yes,,Koraput,1 year,1 year,1.29,1.29,NA,,,for EcologicalSecurity,for EcologicalSecurity,,,
94 HRDP,RuralDevelopment,Yes,Kerala,"Alappuzha,Vaikkom,Ernakulam, Idukki,Wayanad",3years,3years,2.31,2.31,NA,No,No,M.S.,M.S.,CSR00000470,,
94 HRDP,Projects (x),,,"Alappuzha,Vaikkom,Ernakulam, Idukki,Wayanad",3years,3years,2.31,,,,,,,,,
94 HRDP,Projects (x),,,"Alappuzha,Vaikkom,Ernakulam, Idukki,Wayanad",3years,3years,2.31,,,,,,,,,
94 HRDP,Projects (x),,,"Alappuzha,Vaikkom,Ernakulam, Idukki,Wayanad",3years,3years,2.31,,,,,Research,Research,,,
94 HRDP,Projects (x),,,"Alappuzha,Vaikkom,Ernakulam, Idukki,Wayanad",3years,3years,2.31,,,,,Research,Research,,,
94 HRDP,Projects (x),,,"Alappuzha,Vaikkom,Ernakulam, Idukki,Wayanad",3years,3years,2.31,,,,,Research,Research,,,
94 HRDP,,,,"Alappuzha,Vaikkom,Ernakulam, Idukki,Wayanad",3years,3years,2.31,,,,,Foundation,Foundation,,,
95 HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra,Jalna,3years,3years,2.65,2.65,NA,No,No,Watershed,Watershed,,,
95 HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra,Jalna,3years,3years,2.65,2.65,NA,No,No,OrganisationTrust,OrganisationTrust,,,
96 HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra,Dhule,3years,3years,1.35,1.35,NA,No,No,Vikas Sahyog,Vikas Sahyog,CSR00001779,,
96 HRDP,RuralDevelopmentProjects (x),Yes,,Dhule,3years,3years,1.35,,,No,No,Pratishthan,Pratishthan,,,
97 HRDP,RuralDevelopmentProjects (x),Yes,Assam,Darang,1year,1year,0.38,0.38,NA,No,No,FXB India,FXB India,CSR00000076,,
97 HRDP,RuralDevelopmentProjects (x),Yes,Assam,Darang,1year,1year,0.38,,,,,Suraksha,Suraksha,CSR00000076,,
98 HRDP,RuralDevelopment,Yes,MadhyaPradesh,Ujain,1year,1year,1.00,1.00,NA,No,No,Action for,Action for,CSR00001213,,
98 HRDP,Projects (x),,,Ujain,,,,,,,,,,,,
98 HRDP,Projects (x),,,Ujain,,,,,,,,SocialAdvancement（ASA),SocialAdvancement（ASA),,,
98 HRDP,Projects (x),,,Ujain,,,,,,,,SocialAdvancement（ASA),SocialAdvancement（ASA),,,
99 HRDP,RuralDevelopment,Yes,Chhattisgarh,Balrampur,1year,1year,0.84,0.84,NA,No,No,Udyogini,Udyogini,CSR00001487,,
99 HRDP,Projects (x),,Chhattisgarh,Balrampur,1year,1year,,,,,,,,,,
99 HRDP,Projects (x),,Chhattisgarh,Balrampur,1year,1year,,,,,,,,,,
100 HRDP,RuralDevelopment,Yes,Chattisgarh,Surajpur,1 year,1 year,0.55,0.55,NA,No,No,Indo Global,Indo Global,CSR00001677,,
100 HRDP,,Yes,Chattisgarh,Surajpur,1 year,1 year,,,,No,No,Social ServiceSociety,Social ServiceSociety,,,
100 HRDP,Projects (x),Yes,Chattisgarh,Surajpur,1 year,1 year,,,,No,No,Social ServiceSociety,Social ServiceSociety,,,
101 HRDP,RuralDevelopmentProjects (x),Yes,Chhattisgarh,Sarguja,1year,1year,1.18,1.18,NA,No,No,Ambuja Cement NA,Ambuja Cement NA,,,
101 HRDP,RuralDevelopmentProjects (x),Yes,Chhattisgarh,Sarguja,1year,1year,1.18,1.18,NA,No,No,Foundation,Foundation,,,
102 HRDP,RuralDevelopmentProjects (x）,Yes,Punjab,Patiala,1year,1year,0.29,0.29,NA,No,No,Ambuja Cement NA,Ambuja Cement NA,,,
102 HRDP,RuralDevelopmentProjects (x）,,,Patiala,1year,1year,0.29,,,,,Foundation,Foundation,,,
103 HRDP,Rural,Yes,Assam,Lakhimpur,1year,1year,0.73,0.73,NA,No,No,Indo Global,Indo Global,CSR00001677,,
103 HRDP,DevelopmentProjects (x),,,,,,,,,,,Social ServiceSociety,Social ServiceSociety,,,
104 HRDP,RuralDevelopment,Yes,Maharashtra,Nandurbar,1 year,1 year,2.09,2.09,NA,No,No,Collectives,Collectives,CSR00000508,,
104 HRDP,,,Maharashtra,Nandurbar,,,,,,No,No,for Integrated,for Integrated,CSR00000508,,
104 HRDP,Projects (x),,Maharashtra,Nandurbar,,,,,,No,No,,,CSR00000508,,
104 HRDP,Projects (x),,Maharashtra,Nandurbar,,,,,,No,No,,,CSR00000508,,
104 HRDP,Projects (x),,Maharashtra,Nandurbar,,,,,,No,No,LivelihoodInitiatives,LivelihoodInitiatives,CSR00000508,,
105 HRDP,RuralDevelopmentProjects (x),Yes,Uttar Pradesh Gorakhpur,,1year,1year,1.16,1.16,NA,No,No,Peoples Action,Peoples Action,CSR00000125,,
105 HRDP,RuralDevelopmentProjects (x),Yes,Uttar Pradesh Gorakhpur,,1year,1year,1.16,,,,,ForNationalIntegration,ForNationalIntegration,,,
106 HRDP,RuralDevelopment,Yes,Uttar Pradesh,Varanasi,1year,1year,1.26,1.26,NA,No,No,Aroh,Aroh,CSR00000044,,
106 HRDP,Projects (x),Yes,Uttar Pradesh,Varanasi,,,,,,,,,,CSR00000044,,
106 HRDP,Projects (x),Yes,Uttar Pradesh,Varanasi,,,,,,,,Foundation,Foundation,CSR00000044,,
