,,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,Asat 31-Mar-20,,,,
SCHEDULE 1 - CAPITAL,"6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000",,,,,
Authorised capital,"6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000",,,,,
"6,50,00,00,000 (31 March,2020 : 6,50,00,00,000) Equity Shares of 1/- each","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000",,,"6,500,000",,
"Issued, subscribed and paid-up capital",,,,"5,512,776","5,512,776","5,512,776","5,512,776","5,512,776","5,512,776","5,512,776","5,512,776",,,,
"5,51,27,76,482 (31March,2020: 5,48326,460) EquitySharesof1/- ech",,,"2,776","2,776","5,512,776","5,512,776","5,512,776","5,512,776","5,512,776","5,512,776","5,512,776","5,483,286",,,
Total,,,,,,,,,"5,512,776","5,512,776","5,512,776","5,483,286",,,
SCHEDULE 2 - RESERVES AND SURPLUS,,,,,,,,,,,,,,,
Statutory reserve,,,,,,,,,,,,,,,
Opening balance,,,,"356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","288,321,113",,,
Additions during the year,,,"67,717,167","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978","356,038,28078,796,978",,,,
Total,,"434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","356,038,280",,,,
,,"434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258","434,835,258",,,,,
IGeneral reserve,,,,,,,,,,,,,,,
Opening balance,,"136,741,358","136,741,358","136,741,358","136,741,358","136,741,358","136,741,358","136,741,358","136,741,358","136,741,358","110,484,043",,,,
Additions during the year,,"31,116,525","31,116,525","31,116,525","31,116,525","31,116,525","31,116,525","31,116,525","31,116,525","31,116,525","26,257,315",,,,
Total,"167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","136,741,358",,,,
,"167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883","167,857,883",,,,,
IIl Balance in profit and loss account,,"785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","618,176,878",,,,
,,"785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328",,,,,
IV Share premium,,"785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328",,,,,
Opening balance,,"785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328","785,941,979587,555,328",,,,"569,105,180",
Additions during the year,,"17,571,505","17,571,505","17,571,505","17,571,505","17,571,505","17,571,505","17,571,505","17,571,505","17,571,505","18,450,148",,,,
Total,,"605,126,833","605,126,833","605,126,833","605,126,833","605,126,833","605,126,833","605,126,833","605,126,833","605,126,833","587,555,328",,,,
VAmalgamation reserve,,,,,,,,,,,,,,,
Opening balance,,"10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564",,,
Additions during the year,,,,,,,,,,,,,,,
Total,,"10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564",564,"10,635,564",,,
,,"10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564",,,,,
VI Capital reserve,,"10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564","10,635,564",,,,,
