Particulars,"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021",Total Assets
Total Assets,,,,,"43,586.89"
Total Assets,,,,,"43,586.89"
Total Assets,,,,,"43,586.89"
Total Assets,,,,,"43,586.89"
"March 31, 2021","43,586.89",188.35,931.97,,
Total NPAs,,,,,188.35
Total NPAs,,,,,188.35
Total NPAs,,,,,188.35
Total NPAs,,,,,188.35
"March 31, 2021",188.35,,,,
Total Revenue,,,,,931.97
Total Revenue,,,,,931.97
Total Revenue,,,,,931.97
Total Revenue,,,,,931.97
"March 31, 2021",931.97,,,,
Total Assets,,,,,"43,257.00"
Total NPAs,,,,,194.93
Total Revenue,,,,,"1,170.47"
