"· Disclosure on accounts subjected to restructuring for the year ended March 31, 2020: ( crore, except numbers)","· Disclosure on accounts subjected to restructuring for the year ended March 31, 2020: ( crore, except numbers)","· Disclosure on accounts subjected to restructuring for the year ended March 31, 2020: ( crore, except numbers)","· Disclosure on accounts subjected to restructuring for the year ended March 31, 2020: ( crore, except numbers)","· Disclosure on accounts subjected to restructuring for the year ended March 31, 2020: ( crore, except numbers)","· Disclosure on accounts subjected to restructuring for the year ended March 31, 2020: ( crore, except numbers)",
Type of restructuring,Type of restructuring,Type of restructuring,Under Corporate Debt Restructuring (CDR) UnderSmall& Medium Enterprises (SME) TotalMechanism DebtRestructuring Mechanism Others,Under Corporate Debt Restructuring (CDR) UnderSmall& Medium Enterprises (SME) TotalMechanism DebtRestructuring Mechanism Others,Under Corporate Debt Restructuring (CDR) UnderSmall& Medium Enterprises (SME) TotalMechanism DebtRestructuring Mechanism Others,
Sr.No.,Asset Classification→Details,Asset Classification→Details,Sub Sub Sub SubDoubt-Stan-Doubt-Stan- Stan- Doubt- Stan- Doubt-Stan- Loss Total Stan- Loss Total Stan- Loss Total Stan- Loss Totaldard ful dard ful dard ful dard fuldard dard dard dard,Sub Sub Sub SubDoubt-Stan-Doubt-Stan- Stan- Doubt- Stan- Doubt-Stan- Loss Total Stan- Loss Total Stan- Loss Total Stan- Loss Totaldard ful dard ful dard ful dard fuldard dard dard dard,Sub Sub Sub SubDoubt-Stan-Doubt-Stan- Stan- Doubt- Stan- Doubt-Stan- Loss Total Stan- Loss Total Stan- Loss Total Stan- Loss Totaldard ful dard ful dard ful dard fuldard dard dard dard,
,Asset Classification→Details,Asset Classification→Details,Sub Sub Sub SubDoubt-Stan-Doubt-Stan- Stan- Doubt- Stan- Doubt-Stan- Loss Total Stan- Loss Total Stan- Loss Total Stan- Loss Totaldard ful dard ful dard ful dard fuldard dard dard dard,Sub Sub Sub SubDoubt-Stan-Doubt-Stan- Stan- Doubt- Stan- Doubt-Stan- Loss Total Stan- Loss Total Stan- Loss Total Stan- Loss Totaldard ful dard ful dard ful dard fuldard dard dard dard,Sub Sub Sub SubDoubt-Stan-Doubt-Stan- Stan- Doubt- Stan- Doubt-Stan- Loss Total Stan- Loss Total Stan- Loss Total Stan- Loss Totaldard ful dard ful dard ful dard fuldard dard dard dard,
,"Restructuredaccountsasat April 1,",No.ofborrowers,4 4 1 1 3 4 9 1 1 7 4 13,4 4 1 1 3 4 9 1 1 7 4 13,4 4 1 1 3 4 9 1 1 7 4 13,
,"at April 1,2019*",Amount,56.67 56.67 52.37 1.79 182.69 15.96 252.81 52.37 1.79 239.36 15.96309.48,56.67 56.67 52.37 1.79 182.69 15.96 252.81 52.37 1.79 239.36 15.96309.48,56.67 56.67 52.37 1.79 182.69 15.96 252.81 52.37 1.79 239.36 15.96309.48,
,"at April 1,2019*",outstanding,56.67 56.67 52.37 1.79 182.69 15.96 252.81 52.37 1.79 239.36 15.96309.48,56.67 56.67 52.37 1.79 182.69 15.96 252.81 52.37 1.79 239.36 15.96309.48,56.67 56.67 52.37 1.79 182.69 15.96 252.81 52.37 1.79 239.36 15.96309.48,
,,Provisionthereon,2.90 2.90 0.50 0.91 1.41 3.40 0.91 4.31,2.90 2.90 0.50 0.91 1.41 3.40 0.91 4.31,2.90 2.90 0.50 0.91 1.41 3.40 0.91 4.31,
2,Freshrestructuring,No.of,1 6 7 1 6 7,1 6 7 1 6 7,1 6 7 1 6 7,
2,Freshrestructuring,borrowers,1 6 7 1 6 7,1 6 7 1 6 7,1 6 7 1 6 7,
2,during theyear#,Amountoutstanding,2.35 51.07 53.42 2.35 51.07 53.42,2.35 51.07 53.42 2.35 51.07 53.42,2.35 51.07 53.42 2.35 51.07 53.42,
2,,Provision,2.22 2.22 2.22 2.22,2.22 2.22 2.22 2.22,2.22 2.22 2.22 2.22,
,,thereon,2.22 2.22 2.22 2.22,2.22 2.22 2.22 2.22,2.22 2.22 2.22 2.22,
3,Upgradation,No.of,1 -1 1 -1,1 -1 1 -1,1 -1 1 -1,
,to,borrowers,1 -1 1 -1,1 -1 1 -1,1 -1 1 -1,
,restructuredstandard,Amount,0.94 -0.94 0.94 -0.94,0.94 -0.94 0.94 -0.94,0.94 -0.94 0.94 -0.94,
,category,outstanding,0.94 -0.94 0.94 -0.94,0.94 -0.94 0.94 -0.94,0.94 -0.94 0.94 -0.94,
,during theyear,Provision,,,,
,during theyear,thereon,,,,
4,Advances,No.of,,,,
4,not shown as,borrowers,,,,
,restructuredstandard,Amount,,,,
,advances at,outstanding,,,,
,thebeginningof the next,Provision,,,,
,of the nextyear^,thereon,,,,
5,Down,No.of,,,,
,gradation of,borrowers,,,,
,restructured,Amount,,,,
,accountsduring the,outstanding,,,,
,year,Provision,,,,
,,thereon,,,,
6,Write-offs of,No.of,1 2 4 1 1 2 4,1 2 4 1 1 2 4,1 2 4 1 1 2 4,
,restructured,borrowers,1 2 4 1 1 2 4,1 2 4 1 1 2 4,1 2 4 1 1 2 4,
,accounts,Amount,,,11.63 0.32 1.79 177.95 13.63 193.69 0.32 1.79 189.58 13.63205.32,
,vuar##the,outstanding,11.63,11.63,11.63 0.32 1.79 177.95 13.63 193.69 0.32 1.79 189.58 13.63205.32,
7,Restructured,No.of,,,4 4 3 6 2 1 12 3 6 6 1 16,
"accountsasat March 31,2020*","accountsasat March 31,2020*",accountsas,borrowers,,4 4 3 6 2 1 12 3 6 6 1 16,
"accountsasat March 31,2020*","accountsasat March 31,2020*","at March 31,",Amount,45.04 45.04 55.34 51.07 4.74 1.39 112.54 55.34 51.07 49.78 1.39157.58,45.04 45.04 55.34 51.07 4.74 1.39 112.54 55.34 51.07 49.78 1.39157.58,45.04 45.04 55.34 51.07 4.74 1.39 112.54 55.34 51.07 49.78 1.39157.58
"accountsasat March 31,2020*","accountsasat March 31,2020*",2020*,Amountoutstanding,45.04 45.04 55.34 51.07 4.74 1.39 112.54 55.34 51.07 49.78 1.39157.58,45.04 45.04 55.34 51.07 4.74 1.39 112.54 55.34 51.07 49.78 1.39157.58,45.04 45.04 55.34 51.07 4.74 1.39 112.54 55.34 51.07 49.78 1.39157.58
"accountsasat March 31,2020*","accountsasat March 31,2020*",Provision,2.22 0.02 2.24 2.22 0.02 2.24,2.22 0.02 2.24 2.22 0.02 2.24,2.22 0.02 2.24 2.22 0.02 2.24,
"accountsasat March 31,2020*","accountsasat March 31,2020*",thereon,2.22 0.02 2.24 2.22 0.02 2.24,2.22 0.02 2.24 2.22 0.02 2.24,2.22 0.02 2.24 2.22 0.02 2.24,
