Sr.SubjectNo.,"March 31, 2021","March 31, 2020",
(e）() Total amount of outstandingdeferred remuneration and,Total amount of outstanding deferredremuneration (cash bonus) was 3.91crore.,Total amount of outstanding deferredremuneration (cash bonus) was 5.92crore.,
retained remuneration exposedto ex-post explicit and ／orimplicit adjustments,Total amount of outstanding deferredremuneration (cash bonus) was 3.91crore.,Total amount of outstanding deferredremuneration (cash bonus) was 5.92crore.,
(e) (i) Total amount of reductionsduring the financial year due toex-post explicit adjustments,Nil,Nil,
(e)(i)Total amount of reductionsduring the financial year due toex-post implicit adjustments,Nil,Nil,
(f) Number of MRTs (Material RiskTakers) identified,78,35,
(g) i) Number of cases where malushas been exercised,None,None,
(g) (i) Number of cases whereclawback has been exercised,None,None,
(g) (ii)Number of cases where bothmalus and clawback have beenexercised,None,None,
General The mean pay for the bank as a,The mean pay for the Bank as a whole is,"The mean pay for the Bank as a whole is0.07 crore as of March 31,2020.The ratio of the fixed pay of the managingdirector to the mean pay of the Bank as awhole is 182:1 as of March 31, 2020.The ratio of the fixed pay of the otherwhole time director to the mean pay of theBank as a whole is 82:1 as of March 31,2020.",
Quantita whole (excluding sub-staff) and,"0.07 crore as of March 31, 2021.","The mean pay for the Bank as a whole is0.07 crore as of March 31,2020.The ratio of the fixed pay of the managingdirector to the mean pay of the Bank as awhole is 182:1 as of March 31, 2020.The ratio of the fixed pay of the otherwhole time director to the mean pay of theBank as a whole is 82:1 as of March 31,2020.",
tivethe deviation of the pay of each,The ratio of the fixed pay of the managing,"The mean pay for the Bank as a whole is0.07 crore as of March 31,2020.The ratio of the fixed pay of the managingdirector to the mean pay of the Bank as awhole is 182:1 as of March 31, 2020.The ratio of the fixed pay of the otherwhole time director to the mean pay of theBank as a whole is 82:1 as of March 31,2020.",
Disclosu of its WTDs from the mean pay,director to the mean pay of the Bank as a,"The mean pay for the Bank as a whole is0.07 crore as of March 31,2020.The ratio of the fixed pay of the managingdirector to the mean pay of the Bank as awhole is 182:1 as of March 31, 2020.The ratio of the fixed pay of the otherwhole time director to the mean pay of theBank as a whole is 82:1 as of March 31,2020.",
re,"whole is 90:1 as of March 31, 2021.The ratio of the fixed pay of the other","The mean pay for the Bank as a whole is0.07 crore as of March 31,2020.The ratio of the fixed pay of the managingdirector to the mean pay of the Bank as awhole is 182:1 as of March 31, 2020.The ratio of the fixed pay of the otherwhole time director to the mean pay of theBank as a whole is 82:1 as of March 31,2020.",
re,"whole is 90:1 as of March 31, 2021.The ratio of the fixed pay of the other","The mean pay for the Bank as a whole is0.07 crore as of March 31,2020.The ratio of the fixed pay of the managingdirector to the mean pay of the Bank as awhole is 182:1 as of March 31, 2020.The ratio of the fixed pay of the otherwhole time director to the mean pay of theBank as a whole is 82:1 as of March 31,2020.",The ratio ofthe fixec
re,"whole time director to the mean pay of the Bank as a whole is 77:1 as ofMarch 31, 2021.","The mean pay for the Bank as a whole is0.07 crore as of March 31,2020.The ratio of the fixed pay of the managingdirector to the mean pay of the Bank as awhole is 182:1 as of March 31, 2020.The ratio of the fixed pay of the otherwhole time director to the mean pay of theBank as a whole is 82:1 as of March 31,2020.",
