1 (2),1 (2),(3),(3),（4）,（4）,,（5),(6,（7),（7),（8),（9),（9),(10),(11),(11),,,,,
SI. Name of theNo.Project.,SI. Name of theNo.Project.,Item from thelist of activities,Item from thelist of activities,Localarea,Localarea,Locat,Location of the project,Projectduration,AmountAllocated forthe Project,AmountAllocated forthe Project,Amountspent in,Amounttransferred to,Amounttransferred to,Mode of,Mode of Implementation-ImplementationThroughImplementingAgency,Mode of Implementation-ImplementationThroughImplementingAgency,,,,,
SI. Name of theNo.Project.,SI. Name of theNo.Project.,Item from thelist of activities,Item from thelist of activities,Localarea,Localarea,,Location of the project,Projectduration,AmountAllocated forthe Project,AmountAllocated forthe Project,Amountspent in,Amounttransferred to,Amounttransferred to,Mode of,Mode of Implementation-ImplementationThroughImplementingAgency,Mode of Implementation-ImplementationThroughImplementingAgency,,,,,
,,in schedule Vllto the Act.,in schedule Vllto the Act.,(Yes/N,(Yes/N,State,District,,(crore),(crore),the currentfinancial,Unspent CSRAccount for,Unspent CSRAccount for,-Direct (Yes/No),Name,CSRRegistrationnumber,,,,,
,,,,,,,District,,,,Year(crore),,,,,CSRRegistrationnumber,,,,,
,,,,,,,District,,,,,,,,,CSRRegistrationnumber,,,,,
,,,,,,,District,,,,,the project asper Section135(6) ( crore),the project asper Section135(6) ( crore),,,CSRRegistrationnumber,,,,,
13 Skill Training,13 Skill Training,Vocational,Vocational,Yes,Yes,New Delhi,New Delhi,1year,0.13,0.13,0.13,NA,NA,No,Udayan Care,CSR00000619,,,,,
Program for,Program for,Training and,Training and,,,,New Delhi,1year,0.13,0.13,0.13,NA,NA,No,,,,,,,
,,,,,,,New Delhi,1year,,,0.13,NA,NA,No,,,,,,,
,,,,,,,New Delhi,1year,,,0.13,NA,NA,No,,,,,,,
Youth,Youth,,,,,,New Delhi,,,,0.13,NA,NA,No,,,,,,,
,,Enhancement,Enhancement,,,,,,,,,,,,,,,,,,
,,(),(),,,,,,,,,,,,,,,,,,
