Sr. Amount(1)IssuerNo.,Sr. Amount(1)IssuerNo.,,Extent of,,,
Sr. Amount(1)IssuerNo.,Sr. Amount(1)IssuerNo.,Extent of,"""below",Extent of,Extent of,
Sr. Amount(1)IssuerNo.,Sr. Amount(1)IssuerNo.,private,investment,"""unrated""","""unlisted""",
Sr. Amount(1)IssuerNo.,Sr. Amount(1)IssuerNo.,,placement#,"grade""",securities# (2),securities#(3)
Sr. Amount(1)IssuerNo.,Sr. Amount(1)IssuerNo.,,,securities#,,
1Public sector undertakings,"3,122.15","1,554.09",,,,
2Financial institutions,"6,263.47","3,282.00",,,,
3Banks,"4,482.97",944.33,,,1,
4Private corporate,"27,708.92","23,189.75","1,960.83",15.42,"1,695.91",
5Subsidiaries/ Joint ventures(4),"3,826.49","3,826.49",,-,1,
6Others,"23,520.28","14,993.21",,434.32,,
7Provision held towards depreciation,(978.47),,,,,
Total,"67,945.81","47,789.87","1,960.83",449.74,"1,695.91",
