1 （2),（3),（4,（4,,,,,（5）,（5）,(6),（7),（8,（9),（10）,(11),(11),(11),,
SI.Name of the,Item from the,Local,Local,Locati,Locati,Locati,Locati,Location of the project,Location of the project,Project,Amount,Amount,Amount,Mode of,Mode of Implementation -,Mode of Implementation -,Mode of Implementation -,,
No.Project.,list of activities,area,area,,,,,,,duration,Allocated forthe Project,spent in,transferred to,Implementation,Through Implementing Agency,Through Implementing Agency,Through Implementing Agency,,
,in schedule Vll,(Yes/,(Yes/,State,State,State,State,District,District,,the Project（crore),the currentfinancial,Unspent CSR,-Direct (Yes/No),,,,,
,to the Act.,,,State,State,State,State,District,District,,the Project（crore),the currentfinancial,Account for,,,,,,
,to the Act.,,,State,State,State,State,District,District,,the Project（crore),the currentfinancial,Account for,,Name,Name,CSRRegistration,,
,to the Act.,N,,State,State,State,State,District,District,,the Project（crore),the currentfinancial,Account for,,Name,Name,CSRRegistration,,
,,,,,,,,District,District,,,,Year(crore),theprojectas,,,,,
,,,,,,,,District,District,,,,perSection135(6) ( crore),,,,,,
,,,,,,,,District,District,,,,perSection135(6) ( crore),,,,number,,
124 HRDP,Rural,Yes,Yes,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,Lalitpur,Lalitpur,1year,1.17,1.17,NA,No,Centre for,Centre for,CSR00000339,,
,Development,,,,,,,,,,,,,,Advance,Advance,,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,Research and,Research and,,,
,,,,,,,,,,,,,,,Development,Development,,,
125 HRDP,Rural,Yes,Yes,Madhya,Madhya,Madhya,Madhya,Rajgarh,Rajgarh,1 year,1.26,1.26,NA,No,Arpan Seva,Arpan Seva,CSR00000826,,
,,,,,,,,,,,,,,,Sansthan,Sansthan,,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
126 HRDP,Rural,Yes,Yes,Gujarat,Gujarat,Gujarat,Gujarat,Kheda,Kheda,1 year,0.28,0.28,NA,No,Foundation,Foundation,CSR00000637,,
,,,,,,,,,,,,,,,for Ecological,for Ecological,,,
,Projects (x),,,,,,,,,,,,,,Security,Security,,,
127 HRDP,Rural,Yes,Yes,Uttar Pradesh Pratapgarh,Uttar Pradesh Pratapgarh,Uttar Pradesh Pratapgarh,Uttar Pradesh Pratapgarh,Pratapgarh,Pratapgarh,1 year,0.93,0.93,NA,No,Peoples Action,Peoples Action,CSR00000125,,
,Development,,,,,,,,,,,,,,for National,for National,,,
,Projects (x),,,,,,,,,,,,,,Integration,Integration,,,
,Projects (x),,,,,,,,,,,,,,Integration,Integration,,,
128 HRDP,Rural,Yes,Yes,,Chhattisgarh,Chhattisgarh,Chhattisgarh,Balod,Balod,3years,0.53,0.53,NA,No,Vrutti,Vrutti,CSR00000538,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
129 HRDP,Rural,Yes,Yes,,Bihar,Bihar,Bihar,Sitamarhi,Sitamarhi,1year,0.68,0.68,NA,No,Oxfam India,Oxfam India,CSR00000839,,
,Development,,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
130 HRDP,Rural,Yes,Yes,,Rajasthan,Rajasthan,Rajasthan,Dholpur,Dholpur,1 year,0.31,0.31,NA,No,Manjari,Manjari,CSR00000074,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
131 HRDP,Rural,Yes,Yes,,Maharashtra,Maharashtra,Maharashtra,Palghar,Palghar,1 year,0.77,0.77,NA,No,AllIndia Institute CSR00000373,AllIndia Institute CSR00000373,AllIndia Institute CSR00000373,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,Government,Government,,,
132 HRDP,Rural,Yes,Yes,,Rajasthan,Rajasthan,Rajasthan,Baran,Baran,1year,0.31,0.31,NA,No,Self Reliant,Self Reliant,CSR00001911,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,,,,,,,through Joint,through Joint,,,
,,,,,,,,,,,,,,,Action (SRIJAN),Action (SRIJAN),,,
Total,,,,,,,,,,,181.86,181.86,,,,,,,
