nooo,nooo,nooo
Schedule,As at 31-Mar-21,As at 31-Mar-20
CAPITAL AND LIABILITIES,,
Capital 1,"5,512,776","5,483,286"
Reserves and surplus 2,"2,031,695,513","1,704,377,008"
Deposits 3,"13,350,602,208","11,475,022,947"
Borrowings 4,"1,354,873,236","1,446,285,372"
Other liabilities and provisions 5,"726,021,504","673,943,976"
Total,"17,468,705,237","15,305,112,589"
ASSETS,,
Cash and balances with Reserve Bank of India 6,"973,407,363","722,051,210"
Balances with banks and money at call and short notice 7,"221,296,594","144,135,970"
Investments 8,"4,437,282,921","3,918,266,581"
Advances 9,"11,328,366,309","9,937,028,781"
Fixed assets 10,"49,093,169","44,319,155"
Other assets 11,"459,258,881","539,310,892"
Total,"17,468,705,237","15,305,112,589"
Contingent liabilities 12,"9,710,975,961","11,289,534,044"
Bills for collection,"447,481,440","515,849,020"
Significant accounting policies and notes to the financial statements 17&18The schedules referred to above form an integral part of the Balance Sheet.,,
