1) (2),(3),（4),（4),,(5),（6,（7,（8),（9),(10),(10),(11),(11),(11),(11),,
SI.Name of theNo.Project.,Item from thelist of activities,Localarea,Localarea,,Location of the projectDistrict,Projectduration,AmountAllocated forthe Project( crore),Amountspent inthe currentfinancial,Amounttransferred to,ModeofImplementation,ModeofImplementation,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,,
,in schedule Vllto the Act.,Yes/No),Yes/No),State,Location of the projectDistrict,Projectduration,AmountAllocated forthe Project( crore),Amountspent inthe currentfinancial,District,Unspent CSRAccount for,-Direct(Yes/No) Name,-Direct(Yes/No) Name,,,,CSRRegistrationnumber,
,,,,State,,,Year (crore),the project asper Section135(6)( crore),District,,,,,,,,
37Holistic RuralDevelopment,RuralDevelopment,Yes,Yes,Rajasthan,Jaisalmer,2years,1.76,1.76,NA,No,No,URMUL,URMUL,URMUL,CSR00000546,CSRRegistrationnumber,
37Holistic RuralDevelopment,RuralDevelopment,,,,Jaisalmer,2years,1.76,1.76,,,,Rural Health,Rural Health,Rural Health,,,
Program (HRDP),RuralDevelopment,,,,Jaisalmer,2years,1.76,1.76,,,,,Research and,Research and,Research and,,
,,,,,Jaisalmer,2years,1.76,1.76,,,,DevelopmentTrust (URMUL),DevelopmentTrust (URMUL),DevelopmentTrust (URMUL),,,
38 HRDP,RuralDevelopmentProjects (x),,,YesRajasthan,Dhaulpur,2years,1.39,1.39,NA,No,No,ManjariFoundation,ManjariFoundation,ManjariFoundation,CSR00000074,,
38 HRDP,RuralDevelopmentProjects (x),,,,Dhaulpur,2years,1.39,,NA,No,No,ManjariFoundation,ManjariFoundation,ManjariFoundation,CSR00000074,,
39 HRDP,RuralDevelopmentProjects (x),Yes,Yes,Rajasthan,Karauli,2 years,1.58,1.58,NA,No,No,Udyogini,Udyogini,Udyogini,CSR00001487,,
40 HRDP,Rural,Yes,Yes,Rajasthan,Dausa,1year,2.35,2.35,NA,No,No,BAIF,BAIF,BAIF,CSR00000308,,
,DevelopmentProjects (x),,,,Dausa,1year,2.35,,,,,DevelopmentResearchFoundation,DevelopmentResearchFoundation,DevelopmentResearchFoundation,,,
41 HRDP,RuralDevelopment,Yes,Yes,Rajasthan,Pali,1year,0.86,0.86,NA,No,No,Self ReliantInitiatives,Self ReliantInitiatives,Self ReliantInitiatives,CSR00001911,,
41 HRDP,Projects (x),,,Rajasthan,Pali,1year,0.86,0.86,NA,No,No,,,,CSR00001911,,
41 HRDP,Projects (x),,,Rajasthan,Pali,1year,0.86,0.86,NA,No,No,InitiativesThrough JointAction (SRIJAN),InitiativesThrough JointAction (SRIJAN),InitiativesThrough JointAction (SRIJAN),CSR00001911,,
42 HRDP,RuralDevelopmentProjects (x）,,,Rajasthan,Rajasmand,1year,1.24,1.24,NA,No,No,Seva Mandir,Seva Mandir,Seva Mandir,CSR00000288,,
43HRDP,Rural,,,Chattisgarh,Surguja,3years,1.36,1.36,NA,No,No,Ambuja Cement NA,Ambuja Cement NA,Ambuja Cement NA,,,
,DevelopmentProjects (x),,,,Surguja,3years,1.36,,,No,No,Foundation,Foundation,Foundation,,,
44 HRDP,RuralDevelopment,,,Chattisgarh,Bilaspur,3years,1.12,1.12,NA,No,No,National,National,National,CSR00000206,,
44 HRDP,RuralDevelopment,,,,Bilaspur,,,,,No,No,Institute of,Institute of,Institute of,CSR00000206,,
44 HRDP,Projects (x),,,,Bilaspur,,,,,No,No,,,,CSR00000206,,
44 HRDP,Projects (x),,,,Bilaspur,,,,,No,No,,,,CSR00000206,VomenC,VomenC
44 HRDP,,,,,Bilaspur,,,,,,,,,,,,
45HRDP,RuralDevelopmentProjects (x),,,ChhattisgarhKorea (Koriya),ChhattisgarhKorea (Koriya),2years,0.93,0.93,NA,No,No,,,WatershedOrganisationTrust,WatershedOrganisationTrust,WatershedOrganisationTrust,CSR00000518
46 HRDP,Rural,Yes,Yes,Chattisgarh,Janjgir-Champa,1year,1.24,1.24,NA,No,No,The Indo Global CSR00001677Social ServiceSociety (IGSSS),The Indo Global CSR00001677Social ServiceSociety (IGSSS),The Indo Global CSR00001677Social ServiceSociety (IGSSS),CSR00000206,The Indo Global CSR00001677,
,DevelopmentProjects (x),,,Chattisgarh,Janjgir-Champa,1year,1.24,1.24,NA,No,No,The Indo Global CSR00001677Social ServiceSociety (IGSSS),The Indo Global CSR00001677Social ServiceSociety (IGSSS),The Indo Global CSR00001677Social ServiceSociety (IGSSS),,,
47HRDP,Rural,Yes,Yes,Chhattisgarh,Jashpur,1year,1.30,1.30,NA,No,No,Self Reliant,Self Reliant,Self Reliant,CSR00001911,The Indo Global CSR00001677,
47HRDP,Projects (x),,,,,,,,,,,,,,CSR00001911,,
47HRDP,Projects (x),,,,,,,,,,,,,,CSR00001911,,
47HRDP,Projects (x),,,,,,,,,,,Through JointAction (SRIJAN),Through JointAction (SRIJAN),Through JointAction (SRIJAN),CSR00001911,,
48 HRDP,Rural,Yes,Yes,Uttarakhand,Haridwar,1year,2.49,2.49,NA,No,No,Ambuja Cement NAFoundation,Ambuja Cement NAFoundation,Ambuja Cement NAFoundation,,,
,DevelopmentProjects (x),,,,Haridwar,1year,2.49,2.49,NA,No,No,Ambuja Cement NAFoundation,Ambuja Cement NAFoundation,Ambuja Cement NAFoundation,,,
49HRDP,RuralDevelopmentProjects (x),Yes,Yes,Uttar Pradesh,Barabanki,3years,1.49,1.49,NA,No,No,Aga KhanFoundation,Aga KhanFoundation,Aga KhanFoundation,NA,,
49HRDP,RuralDevelopmentProjects (x),Yes,Yes,Uttar Pradesh,Barabanki,3years,1.49,,NA,No,No,Aga KhanFoundation,Aga KhanFoundation,Aga KhanFoundation,NA,,
50 HRDP,RuralDevelopmentProjects (x),Yes,Yes,Uttar Pradesh,Prayagraj (Allahabad),2years,2.14,2.14,NA,No,No,Peoples ActionForNationalIntegration,Peoples ActionForNationalIntegration,Peoples ActionForNationalIntegration,CSR00000125,,
51 HRDP,Rural,Yes,Yes,Gujarat,Gir Somnath,1year,0.80,0.80,NA,No,No,TNS India,TNS India,TNS India,CSR00001337,,
,DevelopmentProjects (x),,,,,,,,,,,Foundation(TNSIF）,Foundation(TNSIF）,Foundation(TNSIF）,,,
52 HRDP,Rural,Yes,Yes,Madhya,Sagar,2 years,1.46,1.46,NA,No,No,AbhyudaySansthan,AbhyudaySansthan,AbhyudaySansthan,CSR00000495,,
52 HRDP,Projects (x),,,,,,,,,No,No,AbhyudaySansthan,AbhyudaySansthan,AbhyudaySansthan,CSR00000495,,
