,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-20,,,,,
SCHEDULE 7 - BALANCES WITH BANKS AND MONEY AT CALL ANDSHORT NOTICE,,,,,,,,,,,,,
In India,,,,,,,,,,,,,
()Balances with banks:,"8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869",,,,,,
(a) In current accounts,"8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","1,717,287",,,,,
(b) In other deposit accounts,"8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","8,333,7539,869","1,759,869",,,,,
Total,"8,343,622","8,343,622","8,343,622","8,343,622","8,343,622","8,343,622","8,343,622","3,477,156",,,,,
(ii)Money at call and short notice:,"8,343,622","8,343,622","8,343,622","8,343,622","8,343,622","8,343,622","8,343,622",,,,,,
(a)With banks,,,,,,,,,,,,,
(b)With other institutions,,,,,,,,,,,,,
Total,,,,,,,,=,,,,,
Total,"8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","3,477,156",,,,,
,"8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840",,,,,,
Outside India,"8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840",,,,,,
()In current accounts,"8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840","8,343,622110,344,840",,,,"47,628,696",,
(ii) In deposit accounts,,,,,"3,909,632","3,909,632","3,909,632","10,176,943",,,,,
(ii) Money at call and short notice,,,,,"98,698,500","98,698,500","98,698,500","82,853,175",,,,,
Total,,,,,,"212,952,972","212,952,972","140,658,814",,,,,
Total,,,,,,"221,296,594","221,296,594","144,135,970",,,,,
SCHEDULE 8 - INVESTMENTS,"3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385",,,,,,
AInvestments in Indiain,"3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385",,,,,,
()Government securities,"3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,511,410,385","3,230,399,049",,,,,
(ii) Other approved securities,"4,332,926","4,332,926","4,332,926","4,332,926","4,332,926","4,332,926","4,332,926",,,,,,
(ii) Shares,"4,332,926","4,332,926","4,332,926","4,332,926","4,332,926","4,332,926","4,332,926","4,044,055",,,,,
(iv) Debentures and bonds,"617,897,218","617,897,218","617,897,218","617,897,218","617,897,218","617,897,218","617,897,218","264,503,537",,,,,
(v） Subsidiaries/joint ventures,"38,264,875","38,264,875","38,264,875","38,264,875","38,264,875","38,264,875","38,264,875","38,264,875",,,,,
"(vi) Others (Units, CDs,CPs, PTCs and security receipts)","241,696,270","241,696,270","241,696,270","241,696,270","241,696,270","241,696,270","241,696,270","359,227,260",,,,,
Total,"4,413,601,674","4,413,601,674","4,413,601,674","4,413,601,674","4,413,601,674","4,413,601,674","4,413,601,674","3,896,438,776",,,,,
B Investments outside India in,,,,,,,,,,,,,
()Government securities (including Local Authorities),"5,936,075","5,936,075","5,936,075","5,936,075","5,936,075","5,936,075","5,936,075","8,409,391",,,,,
(i)Other investments,"5,936,075","5,936,075","5,936,075","5,936,075","5,936,075","5,936,075","5,936,075",,,,,,
(a) Shares,,,,,"35,02417,710,148","35,02417,710,148","35,02417,710,148","35,024",,,,,
(b) Debentures and bonds,,,,,"35,02417,710,148","35,02417,710,148","35,02417,710,148","13,383,390",,,,,
Total,"23,681,247","23,681,247","23,681,247","23,681,247","23,681,247","23,681,247","23,681,247","21,827,805",,,,,
Total,"4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921","3,918,266,581",,,,,
,"4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921","4,437,282,921",,,,,,
