Particulars,"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31,2020",,,
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,725.87,45.94,725.87,45.94,,,,
Present value of obligation as at April 1,725.87,45.94,725.87,45.94,617.95,,,
Interest cost,725.87,45.94,725.87,45.94,,39.22,,
Current service cost,,,100.50,100.50,,,88.12,
Benefits paid,,-38.21,-38.21,-38.21,-47.46,,,
Actuarial (gain) / loss on obligation:,,-38.21,-38.21,-38.21,,,,
Experience adjustment,,,26.48,26.48,-8.46,,,
Assumption change,,,-3.00,-3.00,36.50,,,
Present value of obligation as at March 31,,857.58,857.58,857.58,725.87,,,
Reconciliation of opening and closing balance of the fair value of the plan assets,,,857.58,857.58,,,,
Fair value of plan assets as at April 1,,857.58,,514.93,514.93,501.71,,
Expected return on plan assets,,40.89,104.45,-38.21,40.89,104.45,-38.21,35.58
Contributions,,40.89,104.45,-38.21,40.89,104.45,-38.21,
Benefits paid,,40.89,104.45,-38.21,40.89,104.45,-38.21,-47.46
