Sr. NameNo.,Designation,Expertise
1 Sashidhar Jagdishan,Managing Director& Chief,"Economics of Money, Banking and Finance,Accountancy"
,Executive Officer,"Economics of Money, Banking and Finance,Accountancy"
2 Kaizad Bharucha,Executive Director,"Banking Business, Credit & Risk Management"
3 Srikanth Nadhamuni,Non-Executive Director,Information technology
4 Renu Karnad,Non-Executive Director,"Risk Management, Housing & Real Estate, Financial, Accounting &Audit,Information Technology, Cyber Security, Consumer Behaviour,Sales& Marketing, Legal and Strategy Management"
,,"Risk Management, Housing & Real Estate, Financial, Accounting &Audit,Information Technology, Cyber Security, Consumer Behaviour,Sales& Marketing, Legal and Strategy Management"
,,"Risk Management, Housing & Real Estate, Financial, Accounting &Audit,Information Technology, Cyber Security, Consumer Behaviour,Sales& Marketing, Legal and Strategy Management"
5 Sanjiv Sachar,Independent Director,Human Resource Management and Finance
6 Malay Patel,Independent Director,Small Scale Industries
7 Umesh Chandra Sarangi,Independent Director,Agriculture and Rural Economy
8 Sandeep Parekh,Independent Director,Law (with focus on securities market and financial regulations)
9 M.D. Ranganath,Independent Director,"Finance, Information Technology and Risk Management"
10 Dr.(Ms.)Sunita Maheshwari,Additional Independent,"Medicine,healthcare,entrepreneurship,general administration,small scale industries"
10 Dr.(Ms.)Sunita Maheshwari,Director,"Medicine,healthcare,entrepreneurship,general administration,small scale industries"
11Mr. Atanu Chakraborty,Part-time Non-Executive,"Finance, Economy,Public Policy,Administration and Infrastructure"
11Mr. Atanu Chakraborty,Chairman and AdditionalIndependent,"Finance, Economy,Public Policy,Administration and Infrastructure"
11Mr. Atanu Chakraborty,Director,"Finance, Economy,Public Policy,Administration and Infrastructure"
