"Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))",,,,,,,,,,,,,Evaluation of itigations included in Contingent Liabilities,"As at March 31, 20201,292 Crores92 Crores","As at March 31, 20201,292 Crores92 Crores",,,,,,,
"Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))",,,,,,,,,,,,,"Particulars As at March 31,2021","As at March 31, 20201,292 Crores92 Crores","As at March 31, 20201,292 Crores92 Crores",,,,,,,
"Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))","Identification of Non-performing advances (NPA)and provisioning on advances:Total LoansandAdvances (Netof Provision)asat March31,201:13236CrorProvisionforNPAasatMarch31221:0,53Crores(Refer Schedule 9, Schedule 17(C)(2), Schedule 18(13))",,,,,,,,,,,,,"Taxes 1,268 Crores","As at March 31, 20201,292 Crores92 Crores","As at March 31, 20201,292 Crores92 Crores",,,,,,,
,,,,,,,,,,,,,,,,,,,,,_Legal Cases 228 Crores,"As at March 31, 20201,292 Crores92 Crores","As at March 31, 20201,292 Crores92 Crores",,,,,,,
Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,,_Legal Cases 228 Crores,"As at March 31, 20201,292 Crores92 Crores","As at March 31, 20201,292 Crores92 Crores",,,,,,,
Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,Key Audit Matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,,"(Refer Schedule 12, Schedule 17(C)(18), Schedules18(18)(d)(1)and (2))","As at March 31, 20201,292 Crores92 Crores","As at March 31, 20201,292 Crores92 Crores",,,,,,,
"The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring",,,"As at March 31, 20201,292 Crores92 Crores","As at March 31, 20201,292 Crores92 Crores",,,,,,,
"The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","The Reserve Bank of India’s (""RBl"") guidelines on Income recognitionand asset classification (""IRAC"") prescribe the prudential norms for","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring","Tested the design and operating effectiveness of key controls(includingapplicationcontrols)over approval,recording,monitoring",,Key Audit Matter,How our audit addressed the key audit matter,How our audit addressed the key audit matter,,,,,,,
"identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","identificationand classfication of non-performing assets (""NPA"")","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,","(includingapplicationcontrols)over approval,recording,monitoringand recovery of loans,monitoring_overdue/ stressed accounts,",,The Bank has material open tax litigations including matters under,"Our Audit procedures with respect to this matter included:Testing the design and operating effectiveness of the Bank's keycontrols over the estimation, monitoring and disclosure of provisionsand contingent iabilities.Our substantive audit procedures included and were not limited tothe following:","Our Audit procedures with respect to this matter included:Testing the design and operating effectiveness of the Bank's keycontrols over the estimation, monitoring and disclosure of provisionsand contingent iabilities.Our substantive audit procedures included and were not limited tothe following:",,,,,,,
and the minimum provision required for such assets.,and the minimum provision required for such assets.,and the minimum provision required for such assets.,and the minimum provision required for such assets.,and the minimum provision required for such assets.,and the minimum provision required for such assets.,and the minimum provision required for such assets.,and the minimum provision required for such assets.,and the minimum provision required for such assets.,"identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and","identification of NPA,provision for NPA and valuation of security and",,dispute which involve significant judgement to determine thepossible outcome of these disputes.,"Our Audit procedures with respect to this matter included:Testing the design and operating effectiveness of the Bank's keycontrols over the estimation, monitoring and disclosure of provisionsand contingent iabilities.Our substantive audit procedures included and were not limited tothe following:","Our Audit procedures with respect to this matter included:Testing the design and operating effectiveness of the Bank's keycontrols over the estimation, monitoring and disclosure of provisionsand contingent iabilities.Our substantive audit procedures included and were not limited tothe following:",,,,,,,
The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,The Bank is required to have Board approved policy as per IRAC,"collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.","collateral.Testing of Application controls include testing of automated controls,reports and system reconciliations.",,dispute which involve significant judgement to determine thepossible outcome of these disputes.,"Our Audit procedures with respect to this matter included:Testing the design and operating effectiveness of the Bank's keycontrols over the estimation, monitoring and disclosure of provisionsand contingent iabilities.Our substantive audit procedures included and were not limited tothe following:","Our Audit procedures with respect to this matter included:Testing the design and operating effectiveness of the Bank's keycontrols over the estimation, monitoring and disclosure of provisionsand contingent iabilities.Our substantive audit procedures included and were not limited tothe following:",,,,,,,
