GRI Standard,Disclosure,Description,Page Number(s) and/or URL(s)
GRI 102: GENERAL DISCLOSURES,Organisational profile,Name of the organisation.,10
GRI 102: GENERAL DISCLOSURES,Organisational profile,"Activities, brands, products, and services",10
GRI 102: GENERAL DISCLOSURES,Organisational profile,Location of headquarters,https://www.hdfc.com/corporate-office
GRI 102: GENERAL DISCLOSURES,Organisational profile,Location of operations,"12-13, 358-359"
GRI 102: GENERAL DISCLOSURES,Organisational profile,Ownership and legal form,"10, 354"
GRI 102: GENERAL DISCLOSURES,Organisational profile,Markets served,12-13
GRI 102: GENERAL DISCLOSURES,Organisational profile,Scale of the organisation,12-13
GRI 102: GENERAL DISCLOSURES,Organisational profile,Information on employees and other workers,83-85
GRI 102: GENERAL DISCLOSURES,Organisational profile,Supply chain,26-31
GRI 102: GENERAL DISCLOSURES,Organisational profile,Significant changes to the organisation and its supply chain,26-31
GRI 102: GENERAL DISCLOSURES,Organisational profile,Precautionary Principle or approach,60-69
GRI 102: GENERAL DISCLOSURES,Organisational profile,External initiatives,88-99
GRI 102: GENERAL DISCLOSURES,Organisational profile,Membership of associations,Business Responsibility Report (p. 14)
GRI 102: GENERAL DISCLOSURES,Strategy,Statement from senior decision-maker,20-23
GRI 102: GENERAL DISCLOSURES,Strategy,"Key impacts, risks, and opportunities",20-23
GRI 102: GENERAL DISCLOSURES,Ethics and integrity,"Values, principles, standards, and norms of behaviour","2-3, 332"
GRI 102: GENERAL DISCLOSURES,Ethics and integrity,Mechanisms for advice and concerns about ethics,"104-107, 332, 349, 353"
GRI 102: GENERAL DISCLOSURES,Governance,Governance structure,332
GRI 102: GENERAL DISCLOSURES,Governance,Delegating authority,340
GRI 102: GENERAL DISCLOSURES,Governance,"Executive-level responsibility for economic, environmental, and social topics",340-345
GRI 102: GENERAL DISCLOSURES,Governance,"Consulting stakeholders on economic, environmental, and social topics",32-37
GRI 102: GENERAL DISCLOSURES,Governance,Composition of the highest governance body and its committees,332-345
GRI 102: GENERAL DISCLOSURES,Governance,Chair of the highest governance body,333
GRI 102: GENERAL DISCLOSURES,Governance,Nominating and selecting the highest governance body,"333-337, 349-350"
GRI 102: GENERAL DISCLOSURES,Governance,Conflicts of interest,349
GRI 102: GENERAL DISCLOSURES,Governance,"Role of highest governance body in setting purpose, values, and strategy",332
GRI 102: GENERAL DISCLOSURES,Governance,Collective knowledge of highest governance body,351-352
GRI 102: GENERAL DISCLOSURES,Governance,Evaluating the highest governance body's performance,151
GRI 102: GENERAL DISCLOSURES,Governance,"Identifying and managing economic, environmental, and social impacts",34-37
GRI 102: GENERAL DISCLOSURES,Governance,Effectiveness of risk management processes,141-144
GRI 102: GENERAL DISCLOSURES,Governance,"Review of economic, environmental, and social topics",34-37
GRI 102: GENERAL DISCLOSURES,Governance,Highest governance body's role in sustainability reporting,"104-107, 344"
GRI 102: GENERAL DISCLOSURES,Governance,Communicating critical concerns,"152-153, 340-345"
GRI 102: GENERAL DISCLOSURES,Governance,Nature and total number of critical concerns,152-153
GRI 102: GENERAL DISCLOSURES,Governance,Remuneration policies,"151-152, 242"
GRI 102: GENERAL DISCLOSURES,Governance,Process for determining remuneration,"151-152, 242"
