Particulars,Particulars,Particulars,Particulars,Particulars,Particulars
Interest income as a percentage to working funds¹,March 31, 2021,8.78%,March 31,"2020,8.78%"
Net interest income as a percentage to working funds,March 31, 2021,4.10%,March 31,"2020,4.29%"
Non-interest income as a percentage to working funds,March 31, 2021,1.59%,March 31,"2020,1.78%"
Operating profit² as a percentage to working funds,March 31, 2021,3.62%,March 31,"2020,3.73%"
Return on assets (average),March 31, 2021,1.97%,March 31,"2020,2.01%"
Business³ per employee (₹ in crore),March 31, 2021,19.30,March 31,"2020,17.49"
Profit per employee⁴ (₹ in crore),March 31, 2021,0.26,March 31,"2020,0.24"
Gross non-performing assets to gross advances⁵,March 31, 2021,1.32%,March 31,"2020,1.26%"
Gross non-performing advances to gross advances,March 31, 2021,1.31%,March 31,"2020,1.25%"
Percentage of net non-performing assets⁶ to net advances⁷,March 31, 2021,0.40%,March 31,"2020,0.36%"
Provision coverage ratio⁸,March 31, 2021,69.81%,March 31,"2020,72.00%"
