nooo,nooo,nooo,nooo,nooo,nooo,,,
,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,Asat 31-Mar-20,,,
SCHEDULE 1 - CAPITAL,"6,500,000","6,500,000","6,500,000","6,500,000",,,,
Authorised capital,"6,500,000","6,500,000","6,500,000","6,500,000",,,,
"6,50,00,00 (1March2: 6,500) EquitySaresof 1/-ch","6,500,000","6,500,000","6,500,000","6,500,000","6,500,000",,,
"Issued, subscribed and paid-up capital","5,512,776","5,512,776","5,512,776","5,512,776",,,,
"5,51,27,76,482 (31March,202:5,4326,46)EquitySharesof 1/- each","5,512,776","5,512,776","5,512,776","5,512,776","5,483,286",,,
Total,"5,512,776","5,512,776","5,512,776","5,512,776","5,483,286",,,
SCHEDULE 2 - RESERVES AND SURPLUS,,,,,,,,
Statutory reserve,,,,,,,,
Opening balance,"345,814,38077,791,313","345,814,38077,791,313","345,814,38077,791,313","345,814,38077,791,313","280,171,092",,,
Additions during the year,"345,814,38077,791,313","345,814,38077,791,313","345,814,38077,791,313","345,814,38077,791,313","65,643,288",,,
Total,"423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358","345,814,380",,,
,"423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358",,,,
ⅡGeneral reserve,"423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358",,,,
Opening balance,"423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358","423,605,693136,491,358",,,,"110,234,043"
Additions during the year,"31,116,525","31,116,525","31,116,525","31,116,525","26,257,315",,,
Total,"167,607,883","167,607,883","167,607,883","167,607,883","136,491,358",,,
Ill Balance in profit and loss account,"736,527,947","736,527,947","736,527,947","736,527,947","574,924,020",,,
,"587,555,328","587,555,328","587,555,328","587,555,328",,,,
IV Share premium,"587,555,328","587,555,328","587,555,328","587,555,328",,,,
Opening balance,"587,555,328","587,555,328","587,555,328","587,555,328","569,105,180",,,
Additions during the year,"17,571,505","17,571,505","17,571,505","17,571,505","18,450,148",,,
Total,"605,126,833","605,126,833","605,126,833","605,126,833","587,555,328",,,
,,,,"10,635,564",,,,
V Amalgamation reserve,,,,"10,635,564",,,,
V Amalgamation reserve,,,,"10,635,564",,,,
V Amalgamation reserve,,,,"10,635,564",,,,
Opening balance,,,,"10,635,564","10,635,564",,,
Additions during the year,,,,"10,635,564",,,,
Total,"10,635,564","10,635,564","10,635,564","10,635,564","10,635,564",,,
,"10,635,564","10,635,564","10,635,564","10,635,564",,,,
VI Capital reserve,"10,635,564","10,635,564","10,635,564","10,635,564",,,,
Opening balance,"26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","15,409,264",,,
Additions during the year,"26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","11,238,460",,,
Total,"49,564,566616,645","49,564,566616,645","49,564,566616,645","49,564,566616,645","26,647,724",,,
,"49,564,566616,645","49,564,566616,645","49,564,566616,645","49,564,566616,645",,,,
vlI Investment reserve,"49,564,566616,645","49,564,566616,645","49,564,566616,645","49,564,566616,645",,,,
Opening balance,"49,564,566616,645","49,564,566616,645","49,564,566616,645","49,564,566616,645",,,,
Additions during the year,"49,564,566616,645","49,564,566616,645","49,564,566616,645","49,564,566616,645",,,,
Total,"616,645","616,645","616,645","616,645",,,,
,"19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000",,,,
VIll Investment fluctuation reserve,"19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000",,,,
Opening balance,"19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000","7,730,000",,,
Additions during the year,"19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000","19,070,00017,120,000","11,340,000",,,
Total,"36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","19,070,000",,,
,"36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)",,,,
IX Foreign currency translation account,"36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)",,,,
Opening balance,"36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","1,098,743",,,
Additions/(deductions) during the year,"36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","36,190,0003,238,634(1,418,252)","2,139,891",,,
Total,"1,820,382","1,820,382","1,820,382","1,820,382","3,238,634",,,
Total,"2,031,695,513","2,031,695,513","2,031,695,513","2,031,695,513","1,704,377,008",,,
