Category,"March 31, 2021","March 31, 2020"
a) Direct exposure,"114,575.93","109,166.57"
(i) Residential mortgages*,"71,673.56","66,415.79"
(of which housing loans eligible for inclusion in priority sector advances),"(27,886.84)","(26,822.41)"
(ii) Commercial real estate,"42,587.09","42,293.93"
(iii) Investments in Mortgage Backed Securities (MBS) and other securitised exposures:,,
(a) Residential,227.73,298.59
(b) Commercial real estate,63.72,118.45
(c) Others,23.83,39.81
b) Indirect exposure,"32,877.30","24,158.97"
Fund based and non-fund based exposures on National Housing Bank (NHB) and Housing Finance Companies (HFCs),"32,877.30","24,158.97"
Total exposure to real estate sector,"147,453.23","133,325.54"
