Sr. SubjectNo.,Sr. SubjectNo.,Sr. SubjectNo.,"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31,2020",,,,,,,,,,,,,,,,
(a) Number of meetings held by theNRC during the financial yearand remuneration paid to itsmembers,(a) Number of meetings held by theNRC during the financial yearand remuneration paid to itsmembers,(a) Number of meetings held by theNRC during the financial yearand remuneration paid to itsmembers,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 9Remuneration paid: 0.17 crore,,,,,,,,,,,,,,,,
(b) ()Number of employees havingreceived avariable remunerationaward during the financial year,(b) ()Number of employees havingreceived avariable remunerationaward during the financial year,(b) ()Number of employees havingreceived avariable remunerationaward during the financial year,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,Number of meetings: 28Remuneration paid: 0.57 crore76 employees,32 employees,,,,,,,,,,,,,,,,
(b) (ii)Number and total amount ofsign-on awards made during thefinancial year,(b) (ii)Number and total amount ofsign-on awards made during thefinancial year,(b) (ii)Number and total amount ofsign-on awards made during thefinancial year,"No stock options granted as sign-on awards during the year ended March 31,2021.","No stock options granted as sign-on awards during the year ended March 31,2021.","No stock options granted as sign-on awards during the year ended March 31,2021.","No stock options granted as sign-on awards during the year ended March 31,2021.","No stock options granted as sign-on awards during the year ended March 31,2021.","No stock options granted as sign-on awards during the year ended March 31,2021.","No stock options granted as sign-on awards during the year ended March 31,2021.","No stock options granted as sign-on awards during the year ended March 31,2021.","1,90,000 stock options granted as sign-on awards during the year ended March31,2020.",,,,,,,,,,,,,,,,
(b) (ii)Number and total amount ofguaranteed bonuses awardedduring the financial year,(b) (ii)Number and total amount ofguaranteed bonuses awardedduring the financial year,(b) (ii)Number and total amount ofguaranteed bonuses awardedduring the financial year,NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,None,,,,,,,,,,,,,,,,
"(b) (iv)Details of severance pay, inaddition to accrued benefits,ifany","(b) (iv)Details of severance pay, inaddition to accrued benefits,ifany","(b) (iv)Details of severance pay, inaddition to accrued benefits,ifany",NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,NoneNone,None,,,,,,,,,,,,,,,,
"（c）()Total amount of outstandingdeferred remuneration,split into","（c）()Total amount of outstandingdeferred remuneration,split into","（c）()Total amount of outstandingdeferred remuneration,split into",Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91,Total amount of outstanding deferred remuneration (cash bonus) was 3.91crore.,,,,,,,,,,,,,,,,
"cash, shares and share-linkedinstruments and other forms","cash, shares and share-linkedinstruments and other forms","cash, shares and share-linkedinstruments and other forms",,,,,,,,,Total amount of outstanding deferred remuneration (cash bonus) was 3.91crore.,,,,,,,,,,,,,,,,
(c） (i) Total amount of deferredremuneration paid out in thefinancial year,(c） (i) Total amount of deferredremuneration paid out in thefinancial year,(c） (i) Total amount of deferredremuneration paid out in thefinancial year,2.68 crore,2.68 crore,2.68 crore,2.68 crore,2.68 crore,2.68 crore,2.68 crore,2.68 crore,2.64 crore,,,,,,,,,,,,,,,,
(d),Breakdown of amount of,Breakdown of amount of,"117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","67.48 crore (Fixed*)18.89 crore (variable pay pertaining tofinancial year ended March 31,2019,inrelation to employees where there was nodeferment of pay).The approval of the RBl on the variablepay of the Bank's Whole Time Directorsfor the years ended March 31,2018 and2019 has since been received.9.00 crore (variable pay pertaining tofinancial year ended March 31,2018,inrelation to employees where there was adeferment of pay),of which 5.40 crorewas non-deferred variable pay and3.60 crore was deferred variable pay.9.42crore (variable pay pertaining tofinancial year ended March 31,2019 inrelation to employees where there was adeferment of pay),of which 6.36 crorewas non-deferred variable pay and3.06 crore was deferred variable pay.Number of stock options granted duringthe financial year: 59,58,200The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2020 is awaited.The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2019 has since been received.",,,,,,,,,,,,,,,,
,remuneration awards for the,remuneration awards for the,"117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","67.48 crore (Fixed*)18.89 crore (variable pay pertaining tofinancial year ended March 31,2019,inrelation to employees where there was nodeferment of pay).The approval of the RBl on the variablepay of the Bank's Whole Time Directorsfor the years ended March 31,2018 and2019 has since been received.9.00 crore (variable pay pertaining tofinancial year ended March 31,2018,inrelation to employees where there was adeferment of pay),of which 5.40 crorewas non-deferred variable pay and3.60 crore was deferred variable pay.9.42crore (variable pay pertaining tofinancial year ended March 31,2019 inrelation to employees where there was adeferment of pay),of which 6.36 crorewas non-deferred variable pay and3.06 crore was deferred variable pay.Number of stock options granted duringthe financial year: 59,58,200The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2020 is awaited.The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2019 has since been received.",,,,,,,,,,,,,,,,
