Items/Related party,Promoter,Key management personnel,Total
Fixed assets purchased from,-,-,-
Fixed assets sold to,-,-,-
Interest paid to,8.53,1.82,10.35
Interest received from,-,0.09,0.09
Income from services rendered to,308.94,#,308.94
Expenses for receiving services from,586.66,0.31,586.97
Equity investments,-,-,-
Other Investments,-,-,-
Dividend paid to,864.62,10.40,875.02
Dividend received from,-,-,-
Receivable from,44.48,-,44.48
Payable to,100.28,-,100.28
Guarantees given,0.39,-,0.39
Remuneration paid,-,27.56,27.56
Loans purchased from,24127.25,-,24127.25
