,"DISTRIBUTION OF SHAREHOLDING AS AT MARCH 31, 2021","DISTRIBUTION OF SHAREHOLDING AS AT MARCH 31, 2021","DISTRIBUTION OF SHAREHOLDING AS AT MARCH 31, 2021","DISTRIBUTION OF SHAREHOLDING AS AT MARCH 31, 2021"
Share Range From,Share Range To,No. of Shares,% To Capital,No. of Holders
1,2500,182865228,3.32,1415893
2501,5000,52759920,0.96,14366
5001,10000,41959786,0.76,5929
10001,15000,21008433,0.38,1704
15001,20000,16115032,0.29,919
20001,25000,12319241,0.22,547
25001,50000,43913940,0.80,1227
50001,100000,56534139,1.03,797
100001,99999999999,5085300763,92.24,1811
TOTAL :-,,5512776482,100,1443193
