Items /Related party,Promoter,Key managementpersonnel,Total
Deposits taken,"3,560.67",60.07,"3,620.74"
Deposits taken,"(3,560.67)",(717.55),"(4,278.22)"
Deposits placed,0.32,1,0.32
Deposits placed,(0.47）,(0.76),(1.23)
Advances given,1,0.99,0.99
Advances given,,(2.32),(2.32)
Fixed assets purchased from,,1,-
Fixed assets sold to,-,·,-
Interest paid to,10.80,8.22,19.02
Interest received from,-,0.05,0.05
Income from services rendered to,324.65,#,324.65
Expenses for receiving services from,589.87,0.14,590.01
