SCHEDULE5- OTHERLIABILITIES AND PROVISIONS,,,,,"124,241,904","124,241,904",
SCHEDULE5- OTHERLIABILITIES AND PROVISIONS,,,,,"124,241,904","124,241,904",
Bills payable,,,,,"124,241,904","124,241,904",
Bills payable,,,,,"124,241,904","124,241,904","75,837,207"
Interest accrued,,,,,"81,235,845","81,235,845","85,825,548"
IIlOthers (including provisions),,,"515,724,329","515,724,329","515,724,329","515,724,329","500,355,960"
IV Contingent provisions against standard assets,,,,,"55,258,586","55,258,586","46,517,626"
Total,,,"776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","708,536,341"
,,,"776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724",
SCHEDULE6 - CASH AND BALANCES WITH RESERVE BANK OF INDIA,,,"776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724",
Cash in hand (including foreign currency notes),,,"776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","92,135,807"
I Balances with Reserve Bank of India:,,,"776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724",
(a) In current accounts,,,"776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","776,460,664107,221,831594,421,724","377,974,226"
(b) In other accounts,"272,060,000","272,060,000","272,060,000","272,060,000","272,060,000","272,060,000","252,000,000"
Total,"866,481,724","866,481,724","866,481,724","866,481,724","866,481,724","866,481,724","629,974,226"
Total,"973,703,555","973,703,555","973,703,555","973,703,555","973,703,555","973,703,555","722,110,033"
