Schedule,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-20
CAPITAL AND LIABILITIES,,,,
Capital 1,"5,512,776","5,512,776","5,512,776","5,483,286"
Reserves and surplus 2,"2,092,589,110","2,092,589,110","2,092,589,110","1,758,103,766"
Minority interest 2A,"6,327,647","6,327,647","6,327,647","5,766,413"
Deposits 3,"13,337,208,758","13,337,208,758","13,337,208,758","11,462,071,336"
Borrowings 4,"1,776,967,487","1,776,967,487","1,776,967,487","1,868,343,231"
Other liabiities and provisions 5,"776,460,664","776,460,664","776,460,664","708,536,341"
Total,"17,995,066,442","17,995,066,442","17,995,066,442","15,808,304,373"
ASSETS,,,,
Cash and balances with Reserve Bank of India 6,"973,703,555","973,703,555","973,703,555","722,110,033"
Balances with banks and money at call and short notice 7,"239,021,709","239,021,709","239,021,709","157,291,086"
Investments 8,"4,388,231,117","4,388,231,117","4,388,231,117","3,893,049,519"
Advances 9,"11,852,835,198","11,852,835,198","11,852,835,198","10,436,708,771"
Fixed assets 10,"50,995,631","50,995,631","50,995,631","46,268,558"
Other assets 11,"490,279,232","490,279,232","490,279,232","552,876,406"
Total,"17,995,066,442","17,995,066,442","17,995,066,442","15,808,304,373"
Contingent liabiities 12,"9,752,806,592","9,752,806,592","9,752,806,592","11,304,740,615"
Bills for collection,"447,481,440","447,481,440","447,481,440","515,849,020"
Significant accounting policies and notes to the Consolidated financial statements 17 &18The schedules referred to above form an integral part of the ConsolidatedBalance Sheet.,,,,
