in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,,,,,
,Schedule,Schedule,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended,,,,,
,Schedule,Schedule,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,31-Mar-20,,,,,
,INCOME,INCOME,,,,,,,,,,
,Interest earned 13,Interest earned 13,"1,208,582,265","1,208,582,265","1,208,582,265","1,208,582,265","1,148,126,509",,,,,
,Other income 14,Other income 14,"252,048,927","252,048,927","252,048,927","252,048,927","232,608,187",,,,,
,Total,Total,"1,460,631,192","1,460,631,192","1,460,631,192","1,460,631,192","1,380,734,696",,,,,
,EXPENDITURE,EXPENDITURE,"559,786,560","559,786,560","559,786,560","559,786,560",,,,,,
,Interest expended 15,Interest expended 15,"559,786,560","559,786,560","559,786,560","559,786,560","586,263,979",,,,,
,Operating expenses 16,Operating expenses 16,"327,226,301","327,226,301","327,226,301","327,226,301","306,975,289",,,,,
,Provisions and contingencies [Refer Schedule 18 (24)],Provisions and contingencies [Refer Schedule 18 (24)],"262,453,079","262,453,079","262,453,079","262,453,079","224,922,278",,,,,
,Total,Total,"1,149,465,940","1,149,465,940","1,149,465,940","1,149,465,940","1,118,161,546",,,,,
,I/I PROFIT,I/I PROFIT,,,,,,,,,,
,Net profit for the year,Net profit for the year,"311,165,252","311,165,252","311,165,252","311,165,252","262,573,150",,,,,
,Balance in the Profit and Loss account brought forward,Balance in the Profit and Loss account brought forward,"574,924,020","574,924,020","574,924,020","574,924,020","492,233,022",,,,,
,Total,Total,"886,089,272","886,089,272","886,089,272","886,089,272","754,806,172",,,,,
,IV APPROPRIATIONS,IV APPROPRIATIONS,"886,089,272","886,089,272","886,089,272","886,089,272","77,791,313","77,791,313","77,791,313","77,791,313",,
,Transfer to Statutory Reserve,Transfer to Statutory Reserve,,"65,643,288",,,,,,,,
,"Dividend (including tax /cess thereon) pertaining to previous year paidduring the year, net of dividend tax credits","Dividend (including tax /cess thereon) pertaining to previous year paidduring the year, net of dividend tax credits",,,,,"77,791,313","77,791,313","77,791,313","77,791,313",,"48,933,585"
,Interim Dividend (including tax),Interim Dividend (including tax),,,,,"16,469,504",,,,,
,Transfer to General Reserve,,"31,116,525","31,116,525","31,116,525","31,116,525","26,257,315",,,,,
,Transfer to Capital Reserve,,,,,"22,916,842","22,916,842","11,238,460",,,,
,Transfer to/(from) Investment Reserve Account,,"616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947",,,,,,
,Transfer to/ (from) Investment Fluctuation Reserve,Transfer to/ (from) Investment Fluctuation Reserve,"616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947",,,,,,
,Transfer to/ (from) Investment Fluctuation Reserve,Transfer to/ (from) Investment Fluctuation Reserve,"616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947",,,,,,
,Transfer to/ (from) Investment Fluctuation Reserve,Transfer to/ (from) Investment Fluctuation Reserve,"616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947","11,340,000",,,,,
,Balance carried over to Balance Sheet,Balance carried over to Balance Sheet,"616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947","616,64517,120,000736,527,947","574,924,020",,,,,
,Total,Total,"886,089,272","886,089,272","886,089,272","886,089,272","754,806,172",,,,,
,VEARNINGS PER EQUITY SHARE (Face value 1 per share),VEARNINGS PER EQUITY SHARE (Face value 1 per share),天56.5856.32,天56.5856.32,天56.5856.32,天56.5856.32,王,,,,,
,Basic,Basic,天56.5856.32,天56.5856.32,天56.5856.32,天56.5856.32,48.01,,,,,
,Diluted,Diluted,天56.5856.32,天56.5856.32,天56.5856.32,天56.5856.32,47.66,,,,,
,Significant accounting policies and notes to the financial statements 17&18The schedules referred to above form an integral part of the Profit and LossAccount.,Significant accounting policies and notes to the financial statements 17&18The schedules referred to above form an integral part of the Profit and LossAccount.,,,,,,,,,,
