Particulars,For the year ended / As on,"March 31, 2021","March 31, 2020"
Deposits and Other Borrowings,"1,470,547.5","1,292,130.8",
Advances,"1,132,836.6","9,93,702.9",
Total Income,"146,063.1","1,38,073.5",
Profit Before Depreciation and Tax,"42,961.4","37,803.0",
Profit After Tax,"31,116.5","26,257.3",
Profit Brought Forward,"57,492.4","49,223.3",
Total Profit Available for Appropriation,"88,608.9","75,480.6",
Appropriations,Transfer to Statutory Reserve,"7,779.1","6,564.3"
Transfer to General Reserve,"3,111.6","2,625.7",
Transfer to Capital Reserve,"2,291.7","1,123.8",
Transfer to / (from) Investment Reserve,61.7,-,
Transfer to / (from) Investment Fluctuation Reserve,"1,712.0","1,134.0",
"Dividend (including tax / cess thereon) pertaining to previous year paid during the year, net of dividend tax credits",-,"4,893.4",
Special dividend (including tax/cess thereon),-,"1,646.9",
Balance carried over to Balance Sheet,"73,652.8","57,492.5",
