Sr.No.,Name,Grade,Final Grant
1,Aditya Puri #,Former Managing Director,-*
2,Kaizad Bharucha,Executive Director,-*
3,Sashidhar Jagdishan,Managing Director and CEO,"2,60,000*"
4,Anjani Rathor,Group Head,"2,60,000"
5,Arup Rakshit,Group Head,"2,16,000"
6,Arvind Kapil,Group Head,"2,60,000"
7,Arvind Vohra,Group Head,"2,60,000"
8,Ashima Bhat,Group Head,"2,60,000"
9,Ashish Parthasarthy,Group Head,"2,60,000"
10,Benjamin Frank,Group Head,"2,16,000"
11,Bhavesh Zaveri,Group Head,"2,60,000"
12,Chakrapani Venkatachari,Group Head,"2,60,000"
13,"Dhiraj Relli (on deputation to HDFC Securities Ltd, the Bank's subsidiary)",Group Head,"2,60,000"
14,Jimmy Tata,Group Head,"2,60,000"
15,Nirav Shah,Group Head,"2,60,000"
16,Parag Rao,Group Head,"2,60,000"
17,Rahul Shukla,Group Head,"2,60,000"
18,Rakesh Singh,Group Head,"2,60,000"
19,Ramesh Lakshminarayanan,Group Head,"2,60,000"
20,Raveesh Bhatia,Group Head,"2,16,000"
21,S Sampath Kumar,Group Head,"2,60,000"
22,Smita Bhagat,Group Head,"2,60,000"
23,Srinivasan Vaidyanathan,Chief Financial Officer,"2,60,000"
24,Vinay Razdan,Group Head,"2,60,000"
25,Santosh Haldankar,Senior Vice President (Legal) & Company Secretary,"37,600"
