,(1),(2),(3),（4),(5),(6),（7),（7),(8) （9)
,SI.,Project ID,Name of,Financial,Project Total,Project Total,Amount,Amount,Cumulative Status of
,No.,,the Project,Year in,duration amount,duration amount,spent on,spent on,amount
,,,,which the,allocated,allocated,the,the,spent
,,,,project,,for the,project in,project in,at the end ofCompleted
,,,,was,,project,the,the,reporting / Ongoing
,,,,commenced,,(in,reporting,reporting,financial
,,,,,,,financial,financial,year (in )
,,,,,,,year (in ),year (in ),
,,TOTAL,,,,,,,
"10 In case of creation or acquisition of capital asset, furnish the details relating to theasset so created or acquired through CSR spent in the financial year (asset-wisedetails):","10 In case of creation or acquisition of capital asset, furnish the details relating to theasset so created or acquired through CSR spent in the financial year (asset-wisedetails):","10 In case of creation or acquisition of capital asset, furnish the details relating to theasset so created or acquired through CSR spent in the financial year (asset-wisedetails):","10 In case of creation or acquisition of capital asset, furnish the details relating to theasset so created or acquired through CSR spent in the financial year (asset-wisedetails):","10 In case of creation or acquisition of capital asset, furnish the details relating to theasset so created or acquired through CSR spent in the financial year (asset-wisedetails):","10 In case of creation or acquisition of capital asset, furnish the details relating to theasset so created or acquired through CSR spent in the financial year (asset-wisedetails):","10 In case of creation or acquisition of capital asset, furnish the details relating to theasset so created or acquired through CSR spent in the financial year (asset-wisedetails):",No capital assets have been created oracquired in the name of the Bank throughCSR spend in the financial year 2020-21,No capital assets have been created oracquired in the name of the Bank throughCSR spend in the financial year 2020-21,No capital assets have been created oracquired in the name of the Bank throughCSR spend in the financial year 2020-21
(a) Date of creation or acquisition of the capital asset(s):,(a) Date of creation or acquisition of the capital asset(s):,(a) Date of creation or acquisition of the capital asset(s):,(a) Date of creation or acquisition of the capital asset(s):,(a) Date of creation or acquisition of the capital asset(s):,(a) Date of creation or acquisition of the capital asset(s):,(a) Date of creation or acquisition of the capital asset(s):,,NA,NA
(b)Amount of CSR spent for creation or acquisition of capital asset:,(b)Amount of CSR spent for creation or acquisition of capital asset:,(b)Amount of CSR spent for creation or acquisition of capital asset:,(b)Amount of CSR spent for creation or acquisition of capital asset:,(b)Amount of CSR spent for creation or acquisition of capital asset:,(b)Amount of CSR spent for creation or acquisition of capital asset:,(b)Amount of CSR spent for creation or acquisition of capital asset:,,NA,NA
"(c)Details of the entity or public authority or beneficiary under whose name suchcapital asset is registered, their address etc:","(c)Details of the entity or public authority or beneficiary under whose name suchcapital asset is registered, their address etc:","(c)Details of the entity or public authority or beneficiary under whose name suchcapital asset is registered, their address etc:","(c)Details of the entity or public authority or beneficiary under whose name suchcapital asset is registered, their address etc:","(c)Details of the entity or public authority or beneficiary under whose name suchcapital asset is registered, their address etc:","(c)Details of the entity or public authority or beneficiary under whose name suchcapital asset is registered, their address etc:","(c)Details of the entity or public authority or beneficiary under whose name suchcapital asset is registered, their address etc:",,NA,NA
(d) Provide details of the capital asset(s) created or acquired (including completeaddress and location of the capital asset):,(d) Provide details of the capital asset(s) created or acquired (including completeaddress and location of the capital asset):,(d) Provide details of the capital asset(s) created or acquired (including completeaddress and location of the capital asset):,(d) Provide details of the capital asset(s) created or acquired (including completeaddress and location of the capital asset):,(d) Provide details of the capital asset(s) created or acquired (including completeaddress and location of the capital asset):,(d) Provide details of the capital asset(s) created or acquired (including completeaddress and location of the capital asset):,(d) Provide details of the capital asset(s) created or acquired (including completeaddress and location of the capital asset):,,NA,NA
"11 Specify the reason(s),if the company has failed to spend two percent of theaverage net profit as per section 135(5):","11 Specify the reason(s),if the company has failed to spend two percent of theaverage net profit as per section 135(5):","11 Specify the reason(s),if the company has failed to spend two percent of theaverage net profit as per section 135(5):","11 Specify the reason(s),if the company has failed to spend two percent of theaverage net profit as per section 135(5):","11 Specify the reason(s),if the company has failed to spend two percent of theaverage net profit as per section 135(5):","11 Specify the reason(s),if the company has failed to spend two percent of theaverage net profit as per section 135(5):","11 Specify the reason(s),if the company has failed to spend two percent of theaverage net profit as per section 135(5):",,NA,NA
