Total,,,"1,820,382","3,238,634"
As at 31-Mar-21,,,,
Opening balance,"280,171,052",,,
Additions during the year,"65,643,288",,,
Total,"345,814,380",,,
General reserve,,,,
Opening balance,,,,"136,491,358"
Additions during the year,,,,"26,257,315"
Total,,,,"136,491,358"
Balance in profit and loss account,,,,"574,924,020"
Share premium,,,,
Opening balance,,,,"569,105,180"
Additions during the year,,,,"18,450,148"
Total,,,,"587,555,328"
Amalgamation reserve,,,,
Opening balance,,,,"10,635,564"
Additions during the year,,,,
Total,,,,"10,635,564"
Capital reserve,,,,
Opening balance,,,,"26,647,724"
Additions during the year,,,,"22,916,842"
Total,,,,"49,564,566"
Investment reserve,,,,
Opening balance,,,,
Additions during the year,,,,"616,645"
Total,,,,"616,645"
VII Investment fluctuation reserve,,,,
Opening balance,,,,"7,730,000"
Additions during the year,,,,"11,340,000"
Total,,,,"19,070,000"
IX Foreign currency translation account,,,,
Opening balance,,,,"1,098,743"
Additions / (deductions) during the year,,,,"2,139,891"
Total,,,"1,820,382","3,238,634"
Total,"2,031,695,513",,1,"704,377,008"
