,,,,,,,Non-Ex,ecutive,Directors,,,,Executive Directors,Executive Directors,,,,
,,,,Atanu,Malay,Umesh,Srikanth,Sanjiv,Sandeep,M.D.,Renu,Sunita,Sashidhar,Kaizad,,,,
,,,,Chakraborty,Patel,Chandra,Nadhamuni,Sachar,Parekh,Ranganath,Karnad,Maheshwari,Jagdishan,Bharucha,,,,
,,,,,,Sarangi,,,,,,,,,,,,
Audit,Audit,Audit,Audit,,,.,,,,●,,,,,,,,
Nomination and,Nomination and,Nomination and,Nomination and,,,.,,●,.,.,,,,,,,,
Remuneration,Remuneration,Remuneration,Remuneration,,,.,,●,.,.,,,,,,,,
Stakeholders'Relationship,Stakeholders'Relationship,Stakeholders'Relationship,Stakeholders'Relationship,,,.,,,,,,,,,,,,
Corporate SocialResponsibility &ESG,Corporate SocialResponsibility &ESG,Corporate SocialResponsibility &ESG,Corporate SocialResponsibility &ESG,,,.,,,,,,,,,,,,
Corporate SocialResponsibility &ESG,Corporate SocialResponsibility &ESG,Corporate SocialResponsibility &ESG,Corporate SocialResponsibility &ESG,,,.,,,,,,,,,Respo,Respo,Responsibility &,Responsibility &
Risk Policy andMonitoring,Risk Policy andMonitoring,Risk Policy andMonitoring,Risk Policy andMonitoring,,,,,,,,,,,,,,,
Fraud Monitoring,Fraud Monitoring,Fraud Monitoring,Fraud Monitoring,,,,,,,,,,.,,,,,
Customer Service,Customer Service,Customer Service,Customer Service,,,,,,,,,,,,,,,
Credit Approval,Credit Approval,Credit Approval,Credit Approval,,,,,,,,,,,,,,,
Digital,Digital,Digital,Digital,,,,.,,,,,,,,,,,
Transactions,Transactions,Transactions,Transactions,,,,.,,,,,,,,,,,
Monitoring,Monitoring,Monitoring,Monitoring,,,,.,,,,,,,,,,,
IT Strategy*,IT Strategy*,IT Strategy*,IT Strategy*,,,,,,,●,,,,,,,,
Wilful Defaulters',Wilful Defaulters',Wilful Defaulters',Wilful Defaulters',,,,,,,,,,,,,,,
Identification,Identification,Identification,Identification,,,,,,,,,,,,,,,
Review,Review,Review,Review,,,,,,,,,,,,,,,
Non-CooperativeBorrowers Review,Non-CooperativeBorrowers Review,Non-CooperativeBorrowers Review,Non-CooperativeBorrowers Review,,,,,,,,,,,,,,,
Premises,Premises,Premises,Premises,.,.,,,,.,,,,,,,,,
