Items /Related party,Promoter,Key managementpersonnel,Total
Fixed assets purchased from,,,
Fixed assets sold to,,=,1
Interest paid to,8.53,1.82,10.35
Interest received from,1,0.09,0.09
Income from services rendered to,308.94,#,308.94
Expenses for receiving services from,586.66,0.31,586.97
Equity investments,-,-,=
Equity investments,-,,
Other Investments,1,,
Other Investments,1,1,
Dividend paid to,864.62,10.40,875.02
Dividend received from,-,,-
Receivable from,44.48,,44.48
Receivable from,(55.33),,(55.33)
Payable to,100.28,,100.28
Payable to,(100.28),,(100.28)
Guarantees given,0.39,,0.39
Guarantees given,(0.40),,（0.40)
Remuneration paid,1,27.56,27.56
Loans purchased from,"24,127.25",,"24,127.25"
