1 （2),1 （2),（3）,（3）,（4),,（5),(6),(6),（7),（8,（9）,（10),（10),(11),(11),,
SI.Name of the,SI.Name of the,Item from the,Item from the,Local,Locati,on oftheproject,Project,Project,AmountAllocated for,Amount,Amount,Mode of,Mode of,Mode of Imp,ementation-,,
No.Project.,No.Project.,list of activities,list of activities,area,,,duration,duration,the Project(crore),spent in,transferred to,Implementation,Implementation,Through Impler,nentingAgency,,
,,,,(Yes/No),State,District,duration,duration,the Project(crore),,,the currentfinancial,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),Name,CSR
,,to the Act.,to the Act.,(Yes/No),State,District,,,the Project(crore),,,the currentfinancial,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),Name,
,,to the Act.,to the Act.,,State,District,,,,,,the currentfinancial,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),Registration,
,,,,,State,District,,,,Year(crore),theprojectas,,,,,,
,,,,,State,District,,,,per Section135(6)( crore),,,,,,,
,,,,,State,District,,,,per Section135(6)( crore),,,,number,,,
1Zero Investment,1Zero Investment,Promoting,Promoting,Yes,PAN India,Multiple Districts,1year,1year,19.37,19.37,NA,No,No,Sri Aurobindo,CSR00000200,,
,,Education (ii),Education (ii),,,,,,,,,,,,,,
for Education,for Education,Education (ii),Education (ii),,,,,,,,,,,,,,
for Education,for Education,Education (ii),Education (ii),,,,,,,,,,,Society,,,
Initiatives (ZIIEI),Initiatives (ZIIEI),,,,,,,,,,,,,Society,,,
Initiatives (ZIIEI),Initiatives (ZIIEI),,,,,,,,,,,,,Society,,,
2Utkarsh,2Utkarsh,Promoting,Promoting,Yes,Rajasthan,Jaipur,2 years,2 years,0.15,0.15,NA,No,No,Moinee,CSR00000043,,
,,Education (il),Education (il),,,,,,,,,,,Foundation,,,
,3Digital Equalizer,Promoting,Promoting,Yes,Maharashtra,Mumbai,1year,1year,0.78,0.78,NA,No,No,The America,CSR00001977,,
,,Education (ii),Education (ii),,,,,,,,,,,India,,,
,,,,,,,,,,,,,,Foundation,,,
,4Patang Learning,Promoting,Promoting,Yes,Maharashtra,Mumbai& Thane,2years,2years,0.38,0.38,NA,No,No,Save the,CSR00000158,,
,Centers,Education (il),Education (il),,,Mumbai& Thane,2years,2years,0.38,0.38,,,,Children India,,,
,5Smart,Promoting,Promoting,Yes,Bihar,"Arariya,Jamui, Patna,Kaimur, Madhubani",1year,1year,1.32,1.32,NA,Yes,Yes,Direct,NA,,
,Classroom,Education (ii),Education (ii),,,"Arariya,Jamui, Patna,Kaimur, Madhubani",1year,1year,1.32,1.32,NA,Yes,Yes,,,,
6,6Digitization of,Promoting,Promoting,Yes,Madhya,"Bhopal,Indore,igad,",1year,1year,4.34,4.34,NA,Yes,Yes,Yuva,CSR00000473,,
,schools,Education (i),Education (i),,"Pradesh,","Pune, Barmer,Jodhpur,",,,,,,,,Unstoppable,,,
,,,,,"Rajasthan,","Gorakhpur, Baraich,Balrampur, Hamirpur,",,,,,,,,,,,
,,,,,"Rajasthan,","Gorakhpur, Baraich,Balrampur, Hamirpur,",,,,,,,,,,,
,,,,,"Uttar Pradesh,","Gorakhpur, Baraich,Balrampur, Hamirpur,",,,,,,,,,,,
,,,,,Himachal,"Bilaspur,Una",,,,,,,,,,,
,,,,,Pradesh,,,,,,,,,,,,
,Digital Education,Promoting,Promoting,Yes,Haryana,Panchkula,3years,3years,0.59,0.59,NA,Yes,Yes,Direct,NA,,
,,Education (i),Education (i),,,Panchkula,3years,3years,0.59,,NA,Yes,Yes,Direct,,,
8,8Schools,Promoting,Promoting,Yes,Bihar,Sitamarhi Madhubani,2 years,2 years,1.09,1.09,NA,No,No,Oxfam India,CSR00000839,,
,Rehabilitation,Education (ii),Education (ii),,,,,,,,,,,,,,
,Program- East,,,,,,,,,,,,,,,,
,Program- East,,,,,,,,,,,,,,,,
,Program- East,,,,,,,,,,,,,,,,
,Program- East,,,,,,,,,,,,,,,,
,9Schools,Promoting,Promoting,Yes,Assam,Kamrup Barpeta,2years,2years,0.50,0.50,NA,No,No,Citizens,CSR00000589,,
,Rehabilitation,Education (ii),Education (ii),,,,,,,,,,,Foundation,,,
Program- NE,Program- NE,,,,,,,,,,,,,,,,
10 School,10 School,Promoting,Promoting,Yes,Assam,Nalbari Baksa,2 years,2 years,0.08,0.08,NA,No,No,Gramya Vikash,CSR00000407,,
Rehabilitation,Rehabilitation,Education (ii),Education (ii),,,Nalbari Baksa,,,,,,,,Manch,,,
-NE,-NE,,,,,Nalbari Baksa,,,,,,,,,,,
11 Shikshan Mitra,11 Shikshan Mitra,Promoting,Promoting,Yes,Maharashtra,Palgarh,1year,1year,0.56,0.56,NA,No,No,All India,CSR00000373,,
,,Education (ii),Education (ii),,,,,,,,,,,Institute of,,,
,,,,,,,,,,,,,,Local Self,,,
,,,,,,,,,,,,,,Government,,,
12Anando,12Anando,Promoting,Promoting,Yes,Maharashtra,Yavatmal,1year,1year,0.05,0.05,NA,No,No,Light of life,NA,,
12Anando,12Anando,Education (il),Education (il),,Maharashtra,Yavatmal,1year,1year,0.05,0.05,,,,Trust,,,
