Particulars,"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31,2020",,
Cost,"3,236.57","3,236.57","3,236.57","3,236.57",,,
As at March 31 of the previous year,"3,236.57","3,236.57","3,236.57","3,236.57",,,"2,902.29"
Additions during the year,,,,330.13,334.29,,
Deductions during the year,,,,,(0.01),,
Total (a),,,,"3,566.70","3,236.57",,
Depreciation,,,,,,,
As at March 31 of the previous year,"2,473.76","2,473.76","2,473.76","2,473.76","2,098.76",,
Charge for the year,349.11,349.11,349.11,349.11,375.01,,
On deductions during the year,,,,,(0.01),,
Total (b),"2,822.87","2,822.87","2,822.87","2,822.87","2,473.76",,
Net value (a-b),743.83,743.83,743.83,743.83,762.81,,
