GRI Standard,Disclosure,Description,Page Number(s) and/ orURL(s)
Customer Privacy,,,
,103-1,Explanation of the material topic and its Boundary,106
,103-2,The management approach and its components,106
,103-3,Evaluation of the management approach,106
,418-1,Substantiated complaints concerning breaches of customer privacy and losses of customer data,106
Socio-economic Compliance,,,
,103-1,Explanation of the material topic and its Boundary,88-99
,103-2,The management approach and its components,88-99
,103-3,Evaluation of the management approach,88-99
,419-1,Non-compliance with laws and regulations in the social and economic area,88-99
SECTOR STANDARD,,,
Emissions,,,
,G4-EN15,Direct Greenhouse Gas (GHG) Emissions (Scope 1),64
Investment,G4-EN17,Other Indirect Greenhouse Gas (GHG) Emissions (Scope 3),64
,G4-HR1,Total number and percentage of significant investment,82
,,agreements and contracts that include human rights clauses or that underwent human rights screening,
Local Communities,FS13,Access points in low-populated or economically disadvantaged,"12,131-137"
,FS14,areas by type Initiatives to improve access to financial services for,"32, 99, 131-137"
Product Portfolio,,disadvantaged people,
,FS6,"Percentage of the portfolio for business lines by specific region,",131-137
,FS7,size (e.g. micro/SME/large) and by sector Monetary value of products and services designed to deliver a,131-137
,,specific social benefit for each business line broken down by purpose,
,FS8,Monetary value of products and services designed to deliver a specific environmental benefit for each business line broken down by purpose,"67,103"
