GRI Standard,Disclosure,Description,Page Number(s) and/ orURL(s)
,102-37,Stakeholders' involvement in remuneration,"151-152,242"
,102-38,Annual total compensation ratio,177-178
,102-39,Percentage increase in annual total compensation ratio,177-178
,102-40,List of stakeholder groups,32-33
,102-41,Collective bargaining agreements,82
,102-42,Identifying and selecting stakeholders,32-37
,102-43,Approach to stakeholder engagement,32-37
,102-44,Key topics and concerns raised,32-37
,102-45,Entities included in the consolidated financial statements,"148-149,205"
,102-46,Defining report content and topic Boundaries,4
,102-47,List of material topics,34-37
,102-48,Restatements of information,4
,102-49,Changes in reporting,4
,102-50,Reporting period,4
,102-51,Date of most recent report,4
,102-52,Reporting cycle,4
,102-53,Contact point for questions regarding the report,At the end of this table
,102-54,Claims of reporting in accordance with the GRl Standards,4
,102-55,GRl content index,This table
,102-56,External assurance,4
GRI 200: ECONOMIC,,,
Economic Performance,,,
,103-1,Explanation of the material topic and its Boundary,"23-25, 113, 124-137"
,103-2,The management approach and its components,"23-25,124-137"
,103-3,Evaluation of the management approach,"23-25, 124-137"
,201-1,Direct economic value generated and distributed,"23-25,113,124-137"
,201-2,Financial implications and other risks and opportunities due to climate change,68-69
,201-3,Defined benefit plan obligations and other retirement plans,210-211
Market Presence,201-4,Financial assistance received from government,88
,103-1,Explanation of the material topic and its Boundary,80-87
,103-2,The management approach and its components,80-87
,103-3,Evaluation of the management approach,80-87
,202-1,Ratios of standard entry level wage by gender compared to local minimum wage,80-87
Indirect Economic_,202-2,Proportion of senior management hired from the local community,80-87
Impacts,,Explanation of the material topic and its Boundary,
,103-1 103-2,The management approach and its components,88-99
,103-3,Evaluation of the management approach,88-99
,,Infrastructure investments and services supported,88-99
,203-1,,88-99
Procurement,203-2,Significant indirect economic impacts,88-99
Practices,103-1,,
,103-2,Explanation of the material topic and its Boundary,32-33
,103-3,The management approach and its components,32-33
,204-1,Evaluation of the management approach Proportion of spending on local suppliers,32-33 32-33
Anti-corruption,,,
Anti-competitive Behaviour,103-1,Explanation of the material topic and its Boundary,104-107
Anti-competitive Behaviour,103-2,The management approach and its components,104-107
Anti-competitive Behaviour,103-3,Evaluation of the management approach,104-107
Anti-competitive Behaviour,205-1,Operations assessed for risks related to coruption,104-107
Anti-competitive Behaviour,205-2,Communication and training about anti-corruption policiesand procedures,106
Anti-competitive Behaviour,205-3,Confirmed incidents of corruption and actions taken,"105,150"
Anti-competitive Behaviour,,,
Anti-competitive Behaviour,103-1,Explanation of the material topic and its Boundary,104-107
Anti-competitive Behaviour,103-2,The management approach and its components,104-107
103-3,Evaluation of the management approach,,104-107
206-1,monopoly practices,"Legal actions for anti-competitive behaviour,anti-trust, and",104-107
GRI300: ENVIRONMENT,,,
Energy,,,
,103-1,Explanation of the material topic and its Boundary,60-66
,103-2,The management approach and its components,"58-59,107"
,103-3,Evaluation of the management approach,60-66
,302-1,Energy consumption within the organisation,66
,302-2,Energy consumption outside of the organisation,66
,302-3,Energy intensity,66
,302-4,Reduction of energy consumption,65-66
Emissions,302-5,Reductions in energy requirements of products and services,
,,,66
,103-1,Explanation of the material topic and its Boundary,
,103-2,The management approach and its components,"60-66 58-59,107"
,103-3,Evaluation of the management approach,60-66
,305-1,Direct (Scope 1) GHG emissions,64
,305-2,Energy indirect (Scope 2) GHG emissions,64
,305-3,Other indirect (Scope 3) GHG emissions,64
,305-4,GHG emissions intensity,64
,305-5,Reduction of GHG emissions,64
Effluents and waste,,,
,103-1,Explanation of the material topic and its Boundary,67
,103-2,The management approach and its components,67
,103-3,Evaluation of the management approach,
,,,67
Environmental Compliance,,,
,103-1,Explanation of the material topic and its Boundary,60-67
,103-2,The management approach and its components,"58-59,107"
,103-3,Evaluation of the management approach,60-67
,307-1,Non-compliance with environmental laws and regulations,60
Supplier Environmental Assessment,103-1,Explanation of the material topic and its Boundary,
Supplier Environmental Assessment,103-2,The management approach and its components,60 60
Supplier Environmental Assessment,103-3,Evaluation of the management approach,60
