Grounds of complaints,(i.e. complaints relating to),Number of complaints,pending at the,beginning of the year,Number of,complaints,received during,the year,% increase,/ (decrease),in the number of,complaints,received over the,previous year,Number of,complaints,pending at,the end of,the year*,Of,number of,complaints,pending,beyond 30,days
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,ATM / Debit Cards,"1,709",,,"1,70,370",(24%),,"2,478",-,,,,,,,,,3,,,,,,,
6,Credit Cards,382,,,"1,07,895",3%,,707,-,,,,,,,,,,,,,,,,
,Loans and advances,112,,,"17,277",1%,,239,-,,,,,,,,,,,,,,,,
,Internet / Mobile / Electronic Banking,194,,,"13,308",(15%),,"1,403",-,,,,,,,,,=,,,,,,,
,Account opening / difficulty in operation of accounts,11,,,"5,412",(20%),,46,-,,,,,,,,,,,,,,,,
,Others,88,,,"11,524",(20%),,140,-,,,,,,,,,=,,,,,,,
,Total,"2,496",,,"3,25,786",(15%),,"5,013",-,,,,,,,,,,,,,,,,
