in'000,in'000,in'000,in'000,in'000,in'000,in'000,in'000,in'000,,
,,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-20,Year ended31-Mar-20,,
,Cash flow from / (used in) operating activities,,,,,,,,,
,Profit before income tax,"416,589,837","416,589,837","416,589,837","416,589,837","416,589,837","366,071,513","366,071,513",,
,Adjustments for :,,,,,,,,,
,Depreciation on fixed assets,"13,024,133","13,024,133","13,024,133","13,024,133","13,024,133","11,958,533","11,958,533",,
,(Profit) /loss on revaluation of investments,"14,853,243","14,853,243","14,853,243","14,853,243","14,853,243","7,021,095","7,021,095",,
,Amortisation of premium on held to maturity investments,"7,654,693","7,654,693","7,654,693","7,654,693","7,654,693","5,014,137","5,014,137",,
,(Profit)/ loss on sale of fixed assets,"(15,407)","(15,407)","(15,407)","(15,407)","(15,407)","83,208","83,208",,
,Provision /charge for non performing assets,"116,499,658","116,499,658","116,499,658","116,499,658","116,499,658","93,523,605","93,523,605",,
,Provision for standard assets and contingencies,"42,694,827","42,694,827","42,694,827","42,694,827","42,694,827","30,515,777","30,515,777",,
,Dividend from subsidiaries,"(4,830,434)","(4,830,434)","(4,830,434)","(4,830,434)","(4,830,434)","(4,237,182)","(4,237,182)",,
,,"606,470,550","606,470,550","606,470,550","606,470,550","606,470,550","509,950,686","509,950,686",,
,Adjustments for :,,,,,,,,,
,(Increase)/ decrease in investments,"(525,406,084)","(525,406,084)","(525,406,084)","(525,406,084)","(525,406,084)","(999,216,055)","(999,216,055)",,
,(Increase) /decrease in advances,"(1,509,246,390)","(1,509,246,390)","(1,509,246,390)","(1,509,246,390)","(1,509,246,390)","(1,836,404,567)","(1,836,404,567)",,
,Increase/(decrease) in deposits,"1,875,579,261","1,875,579,261","1,875,579,261","1,875,579,261","1,875,579,261","2,243,613,663","2,243,613,663",,
,(Increase) /decrease in other assets,,"100,182,759","100,182,759","100,182,759","100,182,759","(71,801,285)","(71,801,285)",,
,Increase/(decrease) in other liabilities and provisions,"(6,756,511)","(6,756,511)","(6,756,511)","(6,756,511)","(6,756,511)","91,939,987","91,939,987",,
,,"540,823,585","540,823,585","540,823,585","540,823,585","540,823,585","(61,917,571)","(61,917,571)",,
,Direct taxes paid (net of refunds),"(125,875,723)","(125,875,723)","(125,875,723)","(125,875,723)","(125,875,723)","(104,980,179)","(104,980,179)",,
,Net cash flow from / (used in) operating activities,"414,947,862","414,947,862","414,947,862","414,947,862","414,947,862","(166,897,750)","(166,897,750)",,
,,"414,947,862","414,947,862","414,947,862","414,947,862","414,947,862",,,,
,Cash flows from /(used in) investing activities,,,,,,,,,
,Purchase of fixed assets,"(16,173,763)","(16,173,763)","(16,173,763)","(16,173,763)","(16,173,763)","(15,468,752)","(15,468,752)",,
,Proceeds from sale of fixed assets,"141,637","141,637","141,637","141,637","141,637","182,351","182,351",,
,Dividend from subsidiaries,"4,830,434","4,830,434","4,830,434","4,830,434","4,830,434","4,237,182","4,237,182",,
,Net cash flow used in investing activities,"(11,201,692)","(11,201,692)","(11,201,692)","(11,201,692)","(11,201,692)","(11,049,219)","(11,049,219)",,
,Cash flow (used in) / from financing activities,"(11,201,692)","(11,201,692)","(11,201,692)","(11,201,692)","(11,201,692)",,,,
,"Proceeds from issue of share capital, net of issue expenses","17,600,995","17,600,995","17,600,995","17,600,995","17,600,995","18,486,821","18,486,821",,
,Redemption of Tier Il capital bonds,"(11,050,000)","(11,050,000)","(11,050,000)","(11,050,000)","(11,050,000)",,,,
,Increase /(decrease) in other borrowings,"(80,362,136)","(80,362,136)","(80,362,136)","(80,362,136)","(80,362,136)","275,434,134","275,434,134",,
,Dividend paid during the year (including tax on dividend),-,-,-,-,-,"(65,403,089)","(65,403,089)",,
,Net cash flow (used in) /from financing activities,"(73,811,141)","(73,811,141)","(73,811,141)","(73,811,141)","(73,811,141)","228,517,866","228,517,866",,
,Effect of exchange fluctuation on translation reserve,"(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","2,139,891","2,139,891",,
,Net increase /(decrease) in cash and cash equivalents,"328,516,777","328,516,777","328,516,777","328,516,777","328,516,777","52,710,788","52,710,788",,
,Cash and cash equivalents as at April 1st,"866,187,180","866,187,180","866,187,180","866,187,180","866,187,180","813,476,392","813,476,392",,
,Cash and cash equivalents as at March 31st,"1,194,703,957","1,194,703,957","1,194,703,957","1,194,703,957","1,194,703,957","866,187,180","866,187,180",,
