SCHEDULE 5 - OTHER LIABILITIES AND PROVISIONS,,,,,,
Bills payable,"124,241,90462,334,334","124,241,90462,334,334","124,241,90462,334,334","75,837,207",,
ⅡInterest accrued,"124,241,90462,334,334","124,241,90462,334,334","124,241,90462,334,334",,"68,199,560",
Il Others(including provisions),,,"486,411,605","485,528,626",,
IV Contingent provisions against standard assets,,,"53,033,661","44,378,583",,
Total,"726,021,504","726,021,504","726,021,504",,,
,"726,021,504","726,021,504","726,021,504",,,
SCHEDULE 6 - CASH AND BALANCES WITH RESERVE BANK OF INDIA,"726,021,504","726,021,504","726,021,504",,,
Cash in hand (including foreign currency notes),,,"106,925,639","92,076,984",,
1 Balances with Reserve Bank of India:,,"594,421,724","594,421,724",,,
1 Balances with Reserve Bank of India:,,"594,421,724","594,421,724",,,
(a)In current accounts,,"594,421,724","594,421,724",,,
(a)In current accounts,,"594,421,724","594,421,724",,,
(a)In current accounts,,"594,421,724","594,421,724",,,"377,974,226"
(b) In other accounts,"272,060,000","272,060,000","272,060,000","252,000,000",,
Total,"866,481,724","866,481,724","866,481,724","629,974,226",,
Total,"973,407,363","973,407,363","973,407,363","722,051,210",,
