,2011-2012,2012-2013,2013-2014,2014-2015
Interest income,"27,874.19","35,064.87","41,135.53","48,469.91"
Interest expense,"14,989.58","19,253.75","22,652.90","26,074.23"
Net interest income,"12,884.61","15,811.12","18,482.63","22,395.68"
Other income,"5,783.62","6,852.62","7,919.64","8,996.34"
Net revenues,"18,668.23","22,663.74","26,402.28","31,392.02"
Operating costs,"9,277.64","11,236.11","12,042.20","13,987.55"
Operating result,"9,390.59","11,427.63","14,360.08","17,404.47"
Provisions and contingencies,"1,877.44","1,677.01","1,588.03","2,075.75"
Loan loss provisions,"1,091.77","1,234.21","1,632.58","1,723.58"
Others,785.67,442.80,(44.56),352.17
Profit before tax,"7,513.15","9,750.62","12,772.05","15,328.72"
Provision for taxation,"2,346.08","3,024.34","4,293.67","5,112.80"
Profit after tax,"5,167.07","6,726.28","8,478.38","10,215.92"
Funds :,,,,
Deposits,"2,46,706.45","2,96,246.98","3,67,337.48","4,50,795.65"
Subordinated debt,"11,105.65","16,586.75","16,643.05","16,254.90"
Stockholders'equity,"29,924.37","36,214.15","43,478.63","62,009.42"
Working funds,"3,45,248.26","4,21,327.31","4,91,599.50","5,95,695.13"
Loans Investments,"1,95,420.03","2,39,720.64","3,03,000.27","3,65,495.04"
,"89,967.10","1,11,303.21","1,00,111.88","1,56,833.82"
Key Ratios :,,,,
Earnings per share()* Return on average networth,11.06,14.24,17.74,21.08
Tier 1 capital ratio,18.37%,20.07%,20.88%,20.36%
Total capital ratio,11.60%,11.08%,11.77%,13.66%
,16.52%,16.80%,16.07%,16.79%
Dividend per share () *,2.15,2.75,3.43,4.00
Dividend payout ratio,22.70%,22.77%,22.68%,23.62%
Book value per share as at March 31 () * Market price per share as at March 31 (5 **,63.76,76.10,90.62,123.70
,259.93,312.68,374.40,511.35
Price to earnings ratio,23.51,21.95,21.11,24.26
