As at 31-Mar-21,As at 31-Mar-20,SCHEDULE 2 A - MINORITY INTEREST,Minority interest at the date on which parent subsidiary relationship came into existence,Subsequent increase,Total,Includes reserves of Employee Welfare Trust of ₹ 150.12 crore (previous year ₹ 147.61 crore)
"276,029","276,029",Minority interest at the date on which parent subsidiary relationship came into existence,,"6,327,647","5,766,413",
"576,641.3","549,038.4",Subsequent increase,,,,
,,,,,"6,327,647",Total
,,,,,,Includes reserves of Employee Welfare Trust of ₹ 150.12 crore (previous year ₹ 147.61 crore)
,,SCHEDULE 3 - DEPOSITS,,,,
,,A I Demand deposits,,,,
,,(i) From banks,"38,701,928","36,285,672","2,110,762,442","4,034,924,747"
,,(ii) From others,"2,072,060,514","1,695,304,394","1,731,590,066",
,,Total,,,"13,337,208,758","11,462,071,336"
,,II Savings bank deposits,,,,
,,III Term deposits,,,,
,,(i) From banks,"106,458,399","136,163,876","7,191,521,569","13,337,208,758"
,,(ii) From others,"7,085,063,170","6,490,547,951","6,626,711,827",
,,Total,,,"11,462,071,336",
,,B I Deposits of branches in India,,,,
,,Deposits of branches outside India,,,,
,,Total,"13,278,324,337","11,413,640,800","13,337,208,758","11,462,071,336"
,,Deposits of branches in India,,,,
,,Deposits of branches outside India,,,,
,,Total,,,,
"58,884,421",,,,,,
,,SCHEDULE 4 - BORROWINGS,,,,
,,I Borrowings in India,,,,
,,(i) Reserve Bank of India,"90,200,000","17,260,000","138,040,829","151,630,431"
,,(ii) Other banks,"115,042,682",,"749,824,337",
,,(iii) Other institutions and agencies,"693,515,600",,"218,755,000",
,,(iv) Upper and lower tier II capital and innovative perpetual debts,"211,270,000",,"389,752,149",
,,(v) Bonds and Debentures (excluding subordinated debt),"389,752,149",,"1,499,780,431",
,,Total,"1,499,780,431",,"1,516,304,315",
,,II Borrowings outside India,,,,
"277,187,056","352,038,916",,,,,
