Evaluation of litigations included in contingent liabilities,
Key AuditMatter The Bank has material open tax litigations including matters under,How our audit addressed the key audit matter
dispute which involve significant judgement to determine the possible outcome of these disputes. Significant management judgement is needed in determining whether,"Our Audit procedures with respect to this matter included: Testing the design and operating effectiveness of the Bank's key controls over the estimation,monitoring and disclosure of provisions"
"an obligation exists and whether a provision should be recognised as at the reporting date,in accordance with the accounting criteria set under Accounting Standard 29- Provisions,Contingent Liabilities and Contingent Assets ('AS 29'),or whether it needs to be disclosed asa contingent liability. Further significant judgements are also involved in measuring such obligations, the most significant of which",and contingent liabilities. Our substantive audit procedures included and were not limited to
"an obligation exists and whether a provision should be recognised as at the reporting date,in accordance with the accounting criteria set under Accounting Standard 29- Provisions,Contingent Liabilities and Contingent Assets ('AS 29'),or whether it needs to be disclosed asa contingent liability. Further significant judgements are also involved in measuring such obligations, the most significant of which","the following: · Obtained an understanding of the Bank's process for determining tax liabilities,tax provisions and contingent liabilities pertaining to"
"an obligation exists and whether a provision should be recognised as at the reporting date,in accordance with the accounting criteria set under Accounting Standard 29- Provisions,Contingent Liabilities and Contingent Assets ('AS 29'),or whether it needs to be disclosed asa contingent liability. Further significant judgements are also involved in measuring such obligations, the most significant of which",legal matters and taxation matters; · Obtained list of cases/matters in respect of which litigations were
·Assessment of liability: Judgement is involved in the determination of whether an outflow in respect of identified material matters are probable and can be estimated reliably;,"outstanding as at reporting date; · For significant legal matters,we sought external confirmations and also corroborated with management's documented conclusions on the assessment of outstanding litigations against the Bank;"
"·Adequacy of provisions: The appropriateness of assumptions and judgements used in the estimation of significant provisions; and ·Adequacy of disclosures of provision for liabilities and charges,","· For significant taxation matters，we involved our tax specialist to gain an understanding of the current status of the litigations, including understanding of various orders / notices received by"
"and contingent liabilities. The Bank's assessment is supported by the facts of matter, their own judgement, experience,and advices from legal and independent tax",the Bank and the management's grounds of appeals before the relevantappellate authorities; ·Evaluated the merit of the subject matter under consideration
consultants wherever considered necessary. Since the assessment of these open tax litigations requires significant,"with reference to the grounds presented therein and available independent legal /taxadvice;and ·Agreed underlying tax balances to supporting documentation,"
"level of judgement in interpretation of law,we have included this as a key audit matter. in this regard.",including correspondence with tax authorities. Assessed the disclosures within the standalone financial statements
