Sl. No.,Name of the Project,Item from the list of activities in schedule VII to the Act,Local area (Yes/No),,,,
53,HRDP,Rural Development Projects (x),Yes,Maharashtra Nashik,1.23,No,Sanjeevani CSR00000270Institute forEmpowerment&Development
54,HRDP,Rural Development Projects (x),Yes,Madhya Pradesh Betul,0.18,No,BAIF CSR00000308DevelopmentResearchFoundation
55,HRDP,Rural Development Projects (x),Yes,Maharashtra Nagpur,0.14,No,BAIF CSR00000308DevelopmentResearchFoundation
56,HRDP,Rural Development Projects (x),Yes,Maharashtra Bhandara,0.25,No,BAIF CSR00000308DevelopmentResearchFoundation
57,HRDP,Rural Development Projects (x),Yes,Maharashtra Bhandara,0.15,No,Aga Khan CSR00004229Rural SupportProgrammeIndia
58,HRDP,Rural Development Projects (x),Yes,Bihar Samastipur,0.70,No,Aga Khan CSR00004229Rural SupportProgrammeIndia
59,HRDP,Rural Development Projects (x),Yes,Bihar Muzaffarpur,0.82,No,Aga Khan CSR00004229Rural SupportProgrammeIndia
60,HRDP,Rural Development Projects (x),Yes,Bihar Darbhanga,1.62,No,Aga Khan CSR00004229Rural SupportProgrammeIndia
61,HRDP,Rural Development Projects (x),Yes,Jharkhand Paschim Singhbhum,1.72,No,Network for CSR00002858EnterpriseEnhancementandDevelopmentSupport(NEEDS)
62,HRDP,Rural Development Projects (x),Yes,Assam Lakhimpur,1.09,No,Indo Global CSR00001677Social ServiceSociety(IGSSS)
63,HRDP,Rural Development Projects (x),Yes,Assam Darang,0.20,No,FXB India CSR00000076Suraksha
64,HRDP,Rural Development Projects (x),Yes,Meghalaya Ri-Bhoi,0.47,No,Society for CSR00000283Action inCommunityHealth
65,HRDP,Rural Development Projects (x),Yes,"Punjab Ludhiana, Moga",2.09,No,Society for CSR00000283Action inCommunityHealth
