in'000,in'000,in'000,in'000,in'000,in'000,in'000,,
,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-20,,
cAdvances in India,,,,,,,,
()Priority sector,"2,586,111,539","2,586,111,539","2,586,111,539","2,586,111,539","2,586,111,539","2,582,817,659",,
(i) Public sector,"1,199,082,740","1,199,082,740","1,199,082,740","1,199,082,740","1,199,082,740","623,353,731",,
(ii) Banks,"85,383,854","85,383,854","85,383,854","85,383,854","85,383,854","68,550,435",,
(iv)Others,"7,666,158,574","7,666,158,574","7,666,158,574","7,666,158,574","7,666,158,574","6,877,873,162",,
Total,"11,536,736,707","11,536,736,707","11,536,736,707","11,536,736,707","11,536,736,707","10,152,594,987",,
CI Advances outside India,,,,,,,,
(）Due from banks,"55,276,539","55,276,539","55,276,539","55,276,539","55,276,539","33,250,983",,
(i)Due from others,,,,,,,,
(a) Bills purchased and discounted,"63,490","63,490","63,490","63,490","63,490","51,070",,
(b） Syndicated loans,"8,347,907","8,347,907","8,347,907","8,347,907","8,347,907","12,531,145",,
(c） Others,"252,410,555","252,410,555","252,410,555","252,410,555","252,410,555","238,280,586",,
Total,"316,098,491","316,098,491","316,098,491","316,098,491","316,098,491","284,113,784",,
Total,"11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","10,436,708,771",,
(Advances are net of provisions),,,,,,,,
SCHEDULE 10 - FIXED ASSETS,,,,,,,,
A Premises (including land),,,,,,,,
A Premises (including land),,,,,,,,
A Premises (including land),,,,,,,,
Gross block,,,,,,,,
At cost on 31 March of the preceding year,"18,910,701","18,910,701","18,910,701","18,910,701","18,910,701","18,258,591",,
Additions during the year,"1,745,137","1,745,137","1,745,137","1,745,137","1,745,137","737,974",,
Deductions during the year,"(98,160)","(98,160)","(98,160)","(98,160)","(98,160)","(85,864)",,
Total,"20,557,678","20,557,678","20,557,678","20,557,678","20,557,678","18,910,701",,
Depreciation,,,,,,,,
As at 31 March of the preceding year,"6,375,942","6,375,942","6,375,942","6,375,942","6,375,942","5,816,393",,
Charge for the year,"664,821","664,821","664,821","664,821","664,821","634,858",,
On deductions during the year,"(93,299)","(93,299)","(93,299)","(93,299)","(93,299)","（75,309）",,
Total,"6,947,464","6,947,464","6,947,464","6,947,464","6,947,464","6,375,942",,
Netblock,"13,610,214","13,610,214","13,610,214","13,610,214","13,610,214","12,534,759",,
BOther fixed assets (including furniture and fixtures),,,,,,,,
Gross block,,,,,,,,
At cost on 31 March of the preceding year,"117,016,137","117,016,137","117,016,137","117,016,137","117,016,137","105,848,358",,
Additions during the year,"16,985,088","16,985,088","16,985,088","16,985,088","16,985,088","16,378,259",,
Deductions during the year,"(2,898,680)","(2,898,680)","(2,898,680)","(2,898,680)","(2,898,680)","(5,210,480)",,
Total,"131,102,545","131,102,545","131,102,545","131,102,545","131,102,545","117,016,137",,
Depreciation,"83,282,338","83,282,338","83,282,338","83,282,338","83,282,338",,,
As at 31 March of the preceding year,"83,282,338","83,282,338","83,282,338","83,282,338","83,282,338","76,092,185",,
Charge for the year,"13,182,661","13,182,661","13,182,661","13,182,661","13,182,661","12,139,660",,
On deductions during the year,"(2,747,871)","(2,747,871)","(2,747,871)","(2,747,871)","(2,747,871)","(4,949,507)",,
Total,"93,717,128","93,717,128","93,717,128","93,717,128","93,717,128","83,282,338",,
Net block,"37,385,417","37,385,417","37,385,417","37,385,417","37,385,417","33,733,799",,
,"37,385,417","37,385,417","37,385,417","37,385,417","37,385,417",,,
C Assets on lease (plant and machinery),"37,385,417","37,385,417","37,385,417","37,385,417","37,385,417",,,
Gross block,,,,,,,,
At cost on 31 March of the preceding year,"4,546,923","4,546,923","4,546,923","4,546,923","4,546,923","4,546,923",,
Additions during the year,,,,,,,,
Total,"4,546,923","4,546,923","4,546,923","4,546,923","4,546,923","4,546,923",,
Depreciation,"4,546,923","4,546,923","4,546,923","4,546,923","4,546,923",,,
As at 31 March of the preceding year,,,"4,104,467","4,104,467","4,104,467","4,104,467",,
Charge for the year,,,,,,,,
Total,"4,104,467","4,104,467","4,104,467","4,104,467","4,104,467","4,104,467",,
