(1),（2),（2),（3),（3),（3),（3),（4),（5),（5),（6),（7) （8),（7) （8),（7) （8),,,
SI,Name of the,Name of the,Item from the listof activities inschedule Vll to,Item from the listof activities inschedule Vll to,Item from the listof activities inschedule Vll to,Item from the listof activities inschedule Vll to,Localarea(Yes/,Location of the projectState District,Location of the projectState District,Amountthe Project -Direct (Yes/No)( crore),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,,,
,Project,Project,Item from the listof activities inschedule Vll to,Item from the listof activities inschedule Vll to,Item from the listof activities inschedule Vll to,Item from the listof activities inschedule Vll to,Localarea(Yes/,Location of the projectState District,Location of the projectState District,Amountthe Project -Direct (Yes/No)( crore),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,,,
,,,schedule Vll to,schedule Vll to,schedule Vll to,VIlto,VIlto,Location of the projectState District,Location of the projectState District,Amountthe Project -Direct (Yes/No)( crore),Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,Mode of Mode of Implementationspent for Implementation -Through Implementingthe Project -Direct (Yes/No) Agency,,,
,,,the Act,the Act,the Act,the Act,Localarea(Yes/,Location of the projectState District,Location of the projectState District,Amountthe Project -Direct (Yes/No)( crore),,,No）,Name CSRRegistrationnumber,Name CSRRegistrationnumber,Name CSRRegistrationnumber
,,,the Act,the Act,the Act,the Act,,Location of the projectState District,Location of the projectState District,Amountthe Project -Direct (Yes/No)( crore),,,,,,
39,39Support for Sports,39Support for Sports,Training to,Training to,Training to,Training to,Yes,PAN India,PAN India Multiple Districts,PAN India Multiple Districts,PAN India Multiple Districts,1.25,1.25,Name CSRRegistrationnumber,Name CSRRegistrationnumber,Name CSRRegistrationnumber
,,,promote sports,promote sports,promote sports,promote sports,,,PAN India Multiple Districts,PAN India Multiple Districts,PAN India Multiple Districts,1.25,1.25,,,
,,,(vil),(vil),(vil),(vil),,,PAN India Multiple Districts,PAN India Multiple Districts,PAN India Multiple Districts,1.25,1.25,,,
40,40Dairy Support,40Dairy Support,Rural,Rural,Rural,Rural,Yes,"Gujarat, Rajasthan","Anand,avali,a",18.55,Yes Direct NA,Yes Direct NA,Yes Direct NA,,,
,,,Development,Development,Development,Development,,,"Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer","Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer","Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer",Yes Direct NA,Yes Direct NA,,,
