Particulars,"March 31, 2021","March 31,2020"
Interest income as a percentage to working funds1,7.64%,8.78%
Net interest income as a percentage to working funds,4.10%,4.29%
Non-interest income as a percentage to working funds,1.59%,1.78%
Operating profit2 as a percentage to working funds,3.62%,3.73%
Return on assets (average),1.97%,2.01%
Business per employee (T in crore),19.30,17.49
Profit per employee4 ( in crore),0.26,0.24
Gross non-performing assets to gross advances5,1.32%,1.26%
Gross non-performing advances to gross advances,1.31%,1.25%
Percentage of net non-performing assets to net advances7,0.40%,0.36%
Provision coverage ratio&,69.81%,72.00%
