1 (2),1 (2),1 (2),(3),(3),（4),,（5,（6,（7,（8),（9),(10),(11),(11),(11),(11),(11),(11),(11),(11),(11),,,,,,,,,,,,,,,,,,,
SI.Name of theNo.Project.,SI.Name of theNo.Project.,SI.Name of theNo.Project.,Item from thelist of activities,Item from thelist of activities,Localarea,Locat,Location of the project,Projectduration,AmountAllocated forthe Project,Amountspent in,Amounttransferred to,Mode ofImplementation,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,,,,,,,,,,,,,,,,,,,
SI.Name of theNo.Project.,SI.Name of theNo.Project.,SI.Name of theNo.Project.,Item from thelist of activities,Item from thelist of activities,Localarea,area,Location of the project,Projectduration,AmountAllocated forthe Project,Amountspent in,Amounttransferred to,Mode ofImplementation,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,Mode of Implementation -Through Implementing Agency,,ThroughImple,ThroughImple,ThroughImple,ThroughImple,ThroughImple,,,,,,,,,,,,,
,,,in schedule VIlto the Act.,in schedule VIlto the Act.,eViI,(Yes/,State,District,District,,(crore),the currentfinancial,Unspent CSRAccount for,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),,,,,,,,,,,,,,,,,,,
,,,in schedule VIlto the Act.,in schedule VIlto the Act.,No,,,,,,,,Unspent CSRAccount for,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),,,,,,,,,,,,,,,,,,,
,,,in schedule VIlto the Act.,in schedule VIlto the Act.,No,,State,District,District,,(crore),the currentfinancial,Unspent CSRAccount for,Unspent CSRAccount for,-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),-Direct (Yes/No),Name,Name,CSRRegistrationnumber,CSRRegistrationnumber,CSRRegistrationnumber,CSRRegistrationnumber,,,,,,,,,,,,,
,,,,,,,State,District,District,,(crore),the currentfinancial,,,,Year ( crore),the project asper Section135(6)( crore),,,,,,,CSRRegistrationnumber,CSRRegistrationnumber,CSRRegistrationnumber,CSRRegistrationnumber,,,,,,,,,,,,,
55 HRDP,55 HRDP,55 HRDP,Rural,Rural,Yes,Assam,Dhemaji Lakhimpur,District,District,3years,1.27,1.27,NA,No,World Vision,World Vision,CSR00004211,CSR00004211,CSR00004211,CSR00004211,CSR00004211,CSR00004211,CSR00004211,,,,,,,,,,,,,,,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),,,,,,,,,India,India,India,India,India,India,India,India,CSR00004211,CSR00004211,CSR00004211,,,,,,,,,,,,,,,,,
56 HRDP,56 HRDP,56 HRDP,Rural,Rural,Yes,Maharashtra,Satara,2years,1.31,1.31,NA,No,Action For,Action For,CSR00000092,CSR00000092,CSR00000092,CSR00000092,CSR00000092,CSR00000092,CSR00000092,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,CSR00000092,,,,,,,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,,,,,,,,,,,,,,,CSR00000092,,,,,,,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,,,,,,,,,,,,,,,CSR00000092,,,,,,,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,,,,,,,,Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),,,,,,,,,,,,,,,,,,,
57 HRDP,57 HRDP,57 HRDP,Rural,Rural,Yes,,,,,,,MadhyaPradesh,,Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Renewal InMaharashtra(AFARM),Chindwada,1year,0.49,0.49,NA,No,Watershed,Watershed,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,,,,
57 HRDP,57 HRDP,57 HRDP,Projects (x),Projects (x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 HRDP,57 HRDP,57 HRDP,Projects (x),Projects (x),,OrganisationTrust,OrganisationTrust,OrganisationTrust,OrganisationTrust,OrganisationTrust,OrganisationTrust,OrganisationTrust,OrganisationTrust,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 HRDP,58 HRDP,58 HRDP,RuralDevelopment,RuralDevelopment,Yes,MadhyaPradesh,"Ratlam, Dhar",1 year,0.34,0.34,NA,MadhyaPradesh,No,BaifDevelopment,BaifDevelopment,CSR00000308,CSR00000308,CSR00000308,CSR00000308,CSR00000308,CSR00000308,CSR00000308,1year,0.49,0.49,NA,No,,,,,,,,,,,,,
58 HRDP,58 HRDP,58 HRDP,Projects (x),Projects (x),,,"Ratlam, Dhar",1 year,,,NA,MadhyaPradesh,No,,,,,,,,,CSR00000308,1year,0.49,0.49,NA,No,,,,,,,,,,,,,
58 HRDP,58 HRDP,58 HRDP,Projects (x),Projects (x),,,"Ratlam, Dhar",1 year,,,NA,ResearchFoundation,ResearchFoundation,ResearchFoundation,ResearchFoundation,ResearchFoundation,ResearchFoundation,ResearchFoundation,ResearchFoundation,CSR00000308,CSR00000308,CSR00000308,,,,,,,,,,,,,,,,,,
59 HRDP,59 HRDP,59 HRDP,Rural,Rural,Yes,Madhya,Barwani,2years,1.62,1.62,NA,No,No,Aga Khan,Aga Khan,CSR00000308,CSR00000308,CSR00000308,CSR00000308,CSR00000308,CSR00000308,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,,,,,,,,,,,,
,,,,,,Pradesh,Barwani,2years,1.62,1.62,NA,,Rural Support,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,Pradesh,Barwani,2years,1.62,1.62,NA,,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,,,,,,,,,,,,,,,,,,,,
60 HRDP,60 HRDP,60 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Chhattisgarh,Kabeerdham,1year,1.26,1.26,NA,No,ArohFoundation,ArohFoundation,CSR00000044,CSR00000044,CSR00000044,CSR00000044,CSR00000044,CSR00000044,CSR00000044,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,,,,,,,,,,,,
61 HRDP,61 HRDP,61 HRDP,Rural,Rural,Yes,Chhattisgarh,Durg,1year,2.43,2.43,NA,No,Care India,Care India,CSR00000786,CSR00000786,CSR00000786,CSR00000786,CSR00000786,CSR00000786,CSR00000786,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,,,,,,,,,,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),,Chhattisgarh,Durg,1year,2.43,2.43,NA,No,Solutions ForSustainableDevelopment,Solutions ForSustainableDevelopment,Solutions ForSustainableDevelopment,Solutions ForSustainableDevelopment,Solutions ForSustainableDevelopment,Solutions ForSustainableDevelopment,Solutions ForSustainableDevelopment,Solutions ForSustainableDevelopment,CSR00000786,,,,,,,,,,,,,,,,,,,
62 HRDP,62 HRDP,62 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Chhattisgarh,Dhamtari,2years,0.50,0.50,NA,No,Gramin VikasTrust,Gramin VikasTrust,CSR00000786,CSR00000786,CSR00000786,CSR00000786,CSR00000786,CSR00000786,CSR00000633,CSR00000633,CSR00000633,CSR00000633,CSR00000633,CSR00000633,CSR00000633,,,,,,,,,,,,,
62 HRDP,62 HRDP,62 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Chhattisgarh,Dhamtari,2years,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 HRDP,63 HRDP,63 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Chattisgarh,Kanker,2years,0.80,0.80,NA,No,Gramin VikasTrust,Gramin VikasTrust,No,Udyogini,Udyogini,CSR00001487,CSR00001487,CSR00001487,CSR00001487,CSR00001487,CSR00001487,CSR00001487,CSR00000633,CSR00000633,CSR00000633,,,,,,,,,,,,,
63 HRDP,63 HRDP,63 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Chattisgarh,Kanker,2years,0.80,,,,,,,,,CSR00001487,CSR00001487,CSR00001487,CSR00001487,CSR00001487,CSR00001487,CSR00001487,,,,,,,,,,,,,,,,
64 HRDP,64 HRDP,64 HRDP,Rural,Rural,Yes,Chhattisgarh,Balod,2 years,1.10,1.10,NA,No,Vrutti,Vrutti,No,Udyogini,Udyogini,CSR00000538,CSR00000538,CSR00000538,CSR00000538,CSR00000538,CSR00000538,CSR00000538,,,,,,,,,,,,,,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),,,Balod,2 years,1.10,,,No,,,,,,,,,CSR00000538,CSR00000538,CSR00000538,CSR00000538,,,,,,,,,,,,,,,,
65 HRDP,65 HRDP,65 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Maharashtra,Washim,1 year,1.77,1.77,NA,No,Ugam GraminVikas SansthaUMRA,Ugam GraminVikas SansthaUMRA,CSR00004874,CSR00004874,CSR00004874,CSR00004874,CSR00004874,CSR00004874,CSR00004874,,,,,,,,,,,,,,,,,,,
65 HRDP,65 HRDP,65 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),,Maharashtra,Washim,1 year,1.77,,,,,,,,,CSR00004874,CSR00004874,CSR00004874,CSR00004874,,,,,,,,,,,,,,,,,,,
66 HRDP,66 HRDP,66 HRDP,Rural,Rural,Yes,Maharashtra,Nanded,1 year,0.83,0.83,NA,No,Ugam GraminVikas SansthaUMRA,Ugam GraminVikas SansthaUMRA,CSR00004874,CSR00004874,CSR00004874,No,Centre For,Centre For,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,,,,,,,,,,,,,,,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,,,,,,,,,,,,,,,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,,,,,,,Research AndDevelopment,Research AndDevelopment,Research AndDevelopment,Research AndDevelopment,Research AndDevelopment,Research AndDevelopment,Research AndDevelopment,Research AndDevelopment,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,CSR00000339,,,,,,,,,,,,,
67 HRDP,67 HRDP,67 HRDP,Rural,Rural,Yes,Maharashtra,Yawatmal,2years,1.38,1.38,NA,No,Sanjeevani,Sanjeevani,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,,,,,,,,,,,,,,,,,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),,,Yawatmal,2years,1.38,1.38,NA,No,Inst. For,,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,,,,,,,,,,,,,,,,,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),,,Yawatmal,2years,1.38,1.38,NA,,Empowerment,Empowerment,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,,,,,,,,,,,,,,,,,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),,,Yawatmal,2years,1.38,1.38,NA,,& Development,& Development,& Development,& Development,& Development,& Development,& Development,& Development,CSR00000270,,,,,,,,,,,,,,,,,,,
68 HRDP,68 HRDP,68 HRDP,RuralDevelopment,RuralDevelopment,Yes,Gujarat,Sabarkantha,2years,1.54,1.54,NA,No,Collectives,Collectives,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000270,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,,,,,,,,,,,,,
68 HRDP,68 HRDP,68 HRDP,RuralDevelopment,RuralDevelopment,Yes,Gujarat,Sabarkantha,2years,,,NA,No,for Integrated,for Integrated,for Integrated,for Integrated,for Integrated,for Integrated,for Integrated,for Integrated,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,,,,,,,,,,,,,
68 HRDP,68 HRDP,68 HRDP,Projects (x),Projects (x),,,Sabarkantha,2years,,,NA,No,,,,,,,,,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,,,,,,,,,,,,,
68 HRDP,68 HRDP,68 HRDP,Projects (x),Projects (x),,,Sabarkantha,2years,,,NA,No,Initiatives,Initiatives,Initiatives,Initiatives,Initiatives,Initiatives,Initiatives,Initiatives,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,CSR00000508,,,,,,,,,,,,,
69HRDP,69HRDP,69HRDP,RuralDevelopment,RuralDevelopment,Yes,Gujarat,Narmada,2years,0.95,0.95,NA,No,Aga Khan,Aga Khan,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,,,,,,,,,,,,,,,,,,,
69HRDP,69HRDP,69HRDP,RuralDevelopment,RuralDevelopment,,,Narmada,2years,,,,,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,CSR00004229,,,,,,,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,Narmada,2years,,,,,,,,,,,,,CSR00004229,,,,,,,,,,,,,,,,,,,
,,,Projects (x),Projects (x),,,Narmada,2years,,,,,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,ProgrammeIndia,CSR00004229,,,,,,,,,,,,,,,,,,,
70 HRDP,70 HRDP,70 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Gujarat,Kheda,3years,1.33,1.33,NA,No,Foundation,Foundation,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00000637,CSR00000637,CSR00000637,CSR00000637,CSR00000637,CSR00000637,CSR00000637,,,,,,,,,,,,,
70 HRDP,70 HRDP,70 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,,Kheda,3years,1.33,1.33,NA,No,for EcologicalSecurity,for EcologicalSecurity,for EcologicalSecurity,for EcologicalSecurity,for EcologicalSecurity,for EcologicalSecurity,for EcologicalSecurity,for EcologicalSecurity,CSR00000637,CSR00000637,CSR00000637,CSR00000637,CSR00000637,CSR00000637,CSR00000637,,,,,,,,,,,,,
71 HRDP,71 HRDP,71 HRDP,Rural,Rural,Yes,Bihar,Vaishali,3years,1.58,1.58,NA,No,Aga Khan,Aga Khan,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,,,,,,,,,,,,,
