Sr.No.,Particulars,Treasury,Retail banking,Wholesale banking,Other banking operations,Total
1,Segment revenue,"26,558.44","107,999.94","61,134.45","28,028.21","223,721.04"
2,Unallocated revenue,2.19,,,,
3,Less: Inter-segment revenue,,,,,"76,654.96"
4,Income from operations (1) + (2) - (3),,,,,"147,068.27"
5,Segment results,"3,462.77","12,942.46","14,121.09","9,372.33","39,898.65"
6,Unallocated expenses,,,,,"1,703.79"
7,Income tax expense (including deferred tax),,,,,"10,898.59"
8,Net profit (5) - (6) - (7),,,,,"27,296.27"
9,Segment assets,"457,240.91","484,270.74","520,567.01","110,819.75","1,572,898.41"
10,Unallocated assets,,,,,"7,932.03"
11,Total assets (9) + (10),,,,,"1,580,830.44"
12,Segment liabilities,"102,012.09","907,258.10","317,628.87","49,402.29","1,376,301.35"
13,Unallocated liabilities,,,,,"27,593.74"
14,Total liabilities (12) + (13),,,,,"1,403,895.09"
15,Capital employed (9) - (12) (Segment assets - Segment liabilities),"355,228.82","-422,987.36","202,938.14","61,417.46","196,597.06"
16,Unallocated (10) - (13),,,,,"-19,661.71"
17,Total (15) + (16),,,,,"176,935.35"
18,Capital expenditure,43.29,"1,381.75",119.49,167.09,"1,711.62"
19,Depreciation,32.79,938.71,126.71,178.56,"1,276.77"
20,Provisions for non - performing assets / others*,7.50,"6,632.33","3,756.44","3,283.47","13,679.74"
21,,,,,,20.20
