Particulars,"Quarter ended March 31, 2021","Quarter ended December 31, 2020","Quarter ended September 30, 2020","Quarter ended June 30, 2020"
Total unweighted value (average)*,387444.92,383674.38,388794.58,340377.99
Total weighted value (average)*,69590.69,66593.38,773039.10,732384.63
Total unweighted value (average)*,832171.74,796241.80,773039.10,60916.81
Total weighted value (average)*,13626.49,13030.81,256883.89,12321.65
Total unweighted value (average)*,559642.02,535625.68,516155.21,485951.58
Total weighted value (average)*,55964.20,53562.57,51615.52,48595.16
Total unweighted value (average)*,392556.47,374118.11,363230.65,202266.13
Total weighted value (average)*,220016.76,209243.16,204604.77,202266.13
Total unweighted value (average)*,46724.00,42642.99,39434.73,43335.91
Total weighted value (average)*,11468.76,10451.53,9616.05,10570.42
Total unweighted value (average)*,337592.54,322278.94,314152.61,300405.14
Total weighted value (average)*,200308.07,189595.45,185345.41,179106.25
Total unweighted value (average)*,8239.93,9196.18,9643.31,12589.46
Total weighted value (average)*,8239.93,9196.18,9643.31,12589.46
Total unweighted value (average)*,1468.48,136.02,572.08,2536.01
Total weighted value (average)*,1468.48,136.02,572.08,2536.01
Total unweighted value (average)*,129797.30,100431.39,69254.65,94309.70
Total weighted value (average)*,74882.62,109923.16,94309.70,55993.92
Total unweighted value (average)*,65257.51,53502.98,62084.76,48942.70
Total weighted value (average)*,65257.51,53502.98,62084.76,48942.70
Total unweighted value (average)*,64539.79,46928.41,47838.40,45367.00
Total weighted value (average)*,9625.11,7067.74,7169.89,7051.22
Total unweighted value (average)*,25016.62,22110.23,19704.76,17620.62
Total weighted value (average)*,25016.62,22110.23,19704.76,17620.62
Total unweighted value (average)*,86122.40,80291.75,75154.22,78620.58
Total weighted value (average)*,2583.67,2408.75,2757.85,2358.62
Total unweighted value (average)*,393558.84,361062.26,361353.82,341692.11
Total weighted value (average)*,393558.84,361062.26,361353.82,341692.11
Total unweighted value (average)*,57894.78,54243.72,54736.54,58619.17
Total weighted value (average)*,30583.31,28833.52,54736.54,31164.09
Total unweighted value (average)*,86460.73,71902.59,83850.84,73670.94
Total weighted value (average)*,80668.22,66534.28,83850.84,66790.62
Total unweighted value (average)*,144355.51,126146.31,138587.38,132290.11
Total weighted value (average)*,111251.53,95367.80,138587.38,97954.71
Total Adjusted Value,387444.92,383674.38,388794.58,340377.99
Total Adjusted Value,69590.69,66593.38,773039.10,732384.63
Total Adjusted Value,832171.74,796241.80,773039.10,60916.81
Total Adjusted Value,13626.49,13030.81,256883.89,12321.65
Total Adjusted Value,559642.02,535625.68,516155.21,485951.58
Total Adjusted Value,220016.76,209243.16,204604.77,202266.13
Total Adjusted Value,46724.00,42642.99,39434.73,43335.91
Total Adjusted Value,11468.76,10451.53,9616.05,10570.42
Total Adjusted Value,337592.54,322278.94,314152.61,300405.14
Total Adjusted Value,200308.07,189595.45,185345.41,179106.25
Total Adjusted Value,8239.93,9196.18,9643.31,12589.46
Total Adjusted Value,8239.93,9196.18,9643.31,12589.46
Total Adjusted Value,1468.48,136.02,572.08,2536.01
Total Adjusted Value,1468.48,136.02,572.08,2536.01
Total Adjusted Value,129797.30,100431.39,69254.65,94309.70
Total Adjusted Value,74882.62,109923.16,94309.70,55993.92
Total Adjusted Value,65257.51,53502.98,62084.76,48942.70
Total Adjusted Value,65257.51,53502.98,62084.76,48942.70
Total Adjusted Value,64539.79,46928.41,47838.40,45367.00
Total Adjusted Value,9625.11,7067.74,7169.89,7051.22
Total Adjusted Value,25016.62,22110.23,19704.76,17620.62
Total Adjusted Value,25016.62,22110.23,19704.76,17620.62
Total Adjusted Value,86122.40,80291.75,75154.22,78620.58
Total Adjusted Value,2583.67,2408.75,2757.85,2358.62
Total Adjusted Value,393558.84,361062.26,361353.82,341692.11
Total Adjusted Value,393558.84,361062.26,361353.82,341692.11
Total Adjusted Value,57894.78,54243.72,54736.54,58619.17
Total Adjusted Value,30583.31,28833.52,54736.54,31164.09
Total Adjusted Value,86460.73,71902.59,83850.84,73670.94
Total Adjusted Value,80668.22,66534.28,83850.84,66790.62
Total Adjusted Value,144355.51,126146.31,138587.38,132290.11
Total Adjusted Value,111251.53,95367.80,138587.38,97954.71
Total HQLA,387444.92,383674.38,388794.58,340377.99
Total Net Cash Outflows,282307.31,265694.46,255057.60,243737.40
Liquidity Coverage Ratio(%),137.24%,144.40%,152.43%,139.65%
