Roles and Responsibilities,a.,b.,c.,d.,e.,Composition,Meetings
"Overseeing the Bank's financial reporting process and disclosure of financial information to ensure that the financial statement is correct, sufficient and credible",,,,,,"Mr. M. D. Ranganath (Chairman), Mr. Umesh Chandra Sarangi and Mr. Sanjiv Sachar, all of whom are independent directors. Mr. M. D. Ranganath and Mr. Sanjiv Sachar are the members of Audit Committee having financial expertise. During the year, Mrs. Shyamala Gopinath ceased to be a member of the Committee pursuant to the cessation of her tenure as director of the Bank.","Mr. Santosh Haldankar, Company Secretary of the Bank, acts as the Secretary of the Committee.,The Committee met fifteen (15) times during the year on April 7, 2020, April 13, 2020, April 17, 2020, April 18, 2020, June 19, 2020, July 17, 2020, July 22, 2020, July 30, 2020, August 21, 2020, October 9, 2020, October 16, 2020, December 4, 2020, January 15, 2021, February 3, 2021, and March 3, 2021.,"
Recommending appointment and removal of external auditors and fixing of their fees,,,,,,,
"Reviewing with management the annual financial statements and auditor's report before submission to the Board with special emphasis on accounting policies and practices, compliance with accounting standards, disclosure of related party transactions and other legal requirements relating to financial statements",,,,,,,
"Reviewing the adequacy of the Audit and Compliance functions, including their policies, procedures, techniques and other regulatory requirements",,,,,,,
"Any other terms of reference as may be included from time to time in the Companies Act, 2013, SEBI Listing Regulations, 2015, including any amendments / re-enactments thereof from time to time.",,,,,,,
The Charter of the Audit Committee has been formulated in accordance with certain United States regulatory standards as the Bank's American Depositary Receipts are also listed on the New York Stock Exchange.,,,,,,,
Composition,"Mr. M. D. Ranganath (Chairman), Mr. Umesh Chandra Sarangi and Mr. Sanjiv Sachar, all of whom are independent directors. Mr. M. D. Ranganath and Mr. Sanjiv Sachar are the members of Audit Committee having financial expertise. During the year, Mrs. Shyamala Gopinath ceased to be a member of the Committee pursuant to the cessation of her tenure as director of the Bank.","Mr. Santosh Haldankar, Company Secretary of the Bank, acts as the Secretary of the Committee.",,,,,
Meetings,"The Committee met fifteen (15) times during the year on April 7, 2020, April 13, 2020, April 17, 2020, April 18, 2020, June 19, 2020, July 17, 2020, July 22, 2020, July 30, 2020, August 21, 2020, October 9, 2020, October 16, 2020, December 4, 2020, January 15, 2021, February 3, 2021, and March 3, 2021.",,,,,,
"Scrutinizing the nominations of the directors with reference to their qualifications and experience, for identifying 'Fit and Proper' persons, assessing competency of the persons and reviewing compensation levels of the Bank's employees vis-à-vis other banks and the banking industry in general",,,,,,,
"The NRC has formulated a Policy for Appointment and Fit and Proper Criteria of Directors, which inter-alia provides for criteria to assess the competency of the persons nominated, which includes:",,,,,,"academic qualifications, previous experience, track record, and integrity of the candidates.",
"For assessing the integrity and suitability, features like criminal records, financial position, civil actions undertaken to pursue personal debts, refusal of admission to and expulsion from professional bodies, sanctions applied by regulators or similar bodies and previous questionable business practices are considered.",,,,,,,
"The Committee also formulates criteria for evaluation of performance of individual directors including independent directors, the Board of Directors and its Committees.",,,,,,,
"The criteria for evaluation of performance of directors (including independent directors) include personal attributes such as attendance at meetings, communication skills, leadership skills and adaptability and professional attributes such as understanding of the Bank's core business and strategic objectives, industry knowledge, independent judgment, adherence to the Bank's Code of Conduct, Ethics and Values etc.",,,,,,,
"To carry out any other function as is mandated by the Board from time to time and / or enforced by any statutory notification, amendment or modification, as may be applicable.",,,,,,,
Composition,"Mr. Sanjiv Sachar (Chairman), Mr. Sandeep Parekh, Mr. M.D. Ranganath, Mr. Umesh Chandra Sarangi and Mr. Atanu Chakraborty.",,,,,,
Meetings,"The Committee met twenty-eight (28) times during the year on April 17, 2020, May 8, 2020, May 29, 2020, June 15, 2020, June 17, 2020, July 7, 2020, July 17, 2020, July 27, 2020, September 10, 2020, October 16, 2020, October 21, 2020, October 31, 2020, November 10, 2020, November 24, 2020, December 8, 2020, December 17, 2020, December 28, 2020, January 11, 2021, January 25, 2021, February 15, 2021, February 24, 2021, March 17, 2021, March 19, 2021, March 22, 2021, March 24, 2021, March 25, 2021, March 26, 2021, and March 30, 2021.",,,,,,
