Instrument,Instrument,Instrument,Instrument,Instrument,Instrument,Rating,Rating Agency Comments,Rating Agency Comments,Rating Agency Comments,Rating Agency Comments,,,,
Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,CARE AAA (FD),CARERatings,CARERatings,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,IND tAAA,India Ratings,India Ratings,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,Fixed Deposit Programme,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
Certificate of Deposits,Certificate of Deposits,Certificate of Deposits,Certificate of Deposits,Certificate of Deposits,Certificate of Deposits,CARE A1+,CARE Ratings,CARE Ratings,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
Programme,Programme,Programme,Programme,Programme,Programme,,,,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,IND A1+,India Ratings,India Ratings,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have verystrong degree of safety regarding timely payment offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
"Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated",CARE AAA,CARE Ratings,CARE Ratings,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
"Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated","Long Term Unsecured,Subordinated",dinated,dinated,dinated,dinated,dinated,,,,
(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,r2)Bonds,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,IND AAA,India Ratings,India Ratings,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,
(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,(Lower Tier 2) Bonds,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,,
Infrastructure Bonds,Infrastructure Bonds,Infrastructure Bonds,Infrastructure Bonds,Infrastructure Bonds,Infrastructure Bonds,CARE AAA,CARE Ratings,CARE Ratings,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,
,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
