Particulars,"March 31, 2021","March 31, 2020"
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Present value of obligation as at April 1,"64.15,69.54"
,Interest cost,"3.79,4.11"
,Current service cost,"1.37,0.67"
,Benefits paid,"11.63,14.65"
,Actuarial (gain) / loss on obligation:,"Experience adjustment,31.41,9.06"
,Assumption change,"0.90,-4.58"
,Present value of obligation as at March 31,"89.99,64.15"
Reconciliation of opening and closing balance of the fair value of the plan assets,Fair value of plan assets as at April 1,"9.51,21.95"
,Expected return on plan assets,"0.32,1.10"
,Contributions,"2.30,0.83"
,Benefits paid,"11.63,14.65"
,Actuarial gain / (loss) on plan assets:,"Experience adjustment,-0.20,0.28"
,Assumption change,"0.03,-"
,Fair value of plan assets as at March 31,"0.33,9.51"
Amount recognised in Balance Sheet,Fair value of plan assets as at March 31,"0.33,9.51"
,Present value of obligation as at March 31,"-89.99,-64.15"
Asset / (Liability) as at March 31,-89.66,-54.64
Expenses recognised in Profit and Loss Account,Interest cost,"3.79,4.11"
,Current service cost,"1.37,0.67"
,Expected return on plan assets,"-0.32,-1.10"
,Net actuarial (gain) / loss recognised in the year,"32.48,4.19"
Net cost,37.32,7.87
Actual return on plan assets,0.15,1.39
Estimated contribution for the next year,13.09,7.72
Assumptions,Discount rate,"6.50% per annum,6.60% per annum"
,Expected return on plan assets,"6.50% per annum,7.00% per annum"
,Salary escalation rate,"7.00% per annum,7.00% per annum"
