PriorityS. Rank,No.,,,Capitals impacted
7.,17.,Sustainability topic GRl aspects Transparency,General disclosure - Reporting practice,0000
,,and Disclosure,"With the growing demand for ESG disclosures among the stakeholders, we ensure that such reporting is accurate and reliable. At HDFC Bank, we have put in place asustainability reporting programme aimed at articulating our sustainability strategy,risks,and opportunitiesand performance on material ESG topics,",
,,,aligned with internal and external stakeholder expectations. Assurance Engagements ISAE 30oo (Revised).,We also accord due importance to report assurance process. Our Integrated Report and our Green House Gas (GHG)emissions are externally verified by third-party auditors based on the International Standard on
8.,15.,Economic Performance,Economic performance,
,,,effective capital utilisation.,"We have delivered consistent performance,even under stressul economic situations, with an aim to create enhanced long-term value for our stakeholders.This is accomplished through discreet strategies and"
9.,13.,Systematic Risk Management,General disclosure - Governance,
,,,"We have amulti-layered risk management process to identify,assess,monitorand manage risks through the to assess our vulnerability to extreme but plausible adverse business conditions.Further，we have a","effective use of processes, information and technology. As part of our overall risk management framework, we have a Board-approved Stress Testing Policy & Framework which forms an integral part of our ICAAP (Internal Capital Adequacy Assessment Process). Stress testing involves the use of various techniques"
,,,,"SEMS (Social & Environmental Management System) framework for assessing social and environmental credit risks in our portfolio.Risk exposures are actively captured and reported to the relevant levels of management,to initiate appropriate mitigation measures.The risk management function is independent"
10.,11.,Financial,"from business,and reports directly to the Managing Director & CEO. Economic performance; Local communities",? ③
,,Inclusion,,"Financial inclusion is crucial for India's sustained economic growth.As the nation's largest private bank, we"
11.,14.,Responsible,mainstream.This in turn provides an opportunity to reach out to a wider customer base.,are cognisant of our responsibility to brining the under-banked population of the country to the economic F0∞
,,Finance,"Environmental compliance; Socioeconomic compliance We recognise the inherent social and environmental/climate change risks in our loan portfolio.Thus,as","a part of our credit policy，we evaluate_all loans,whether for greenfield projects or for regular capital"
,,,"expenditure,with a value of more than 10 Crore and a tenor of over 5 years,through our Social and","Environmental Management System (SEMS) framework.We do not fund projects that have potential adverse impacton Environment, Health and Safety (EHS)levels.Further, we continue to invest in renewable energy and energy effciency projects to lower our carbon footprint. We also encourage customers to make"
12.,6.,Employee Welfare,'green banking'choices. Employment,®
,,,Employees are our most valued resource.We focus on creating a conducive work environment that,"promotes active development and participation of our employees.We engage with employees through several events and have put in place various codes and policies to faciitate a fair, diverse and inclusive"
13.,5.,Community,workplace.,
,,Wellbeing,Local communities,日
,,,,We strongly believe in giving back to the society.Through Parivartan，we have identified the most
